"Region","Year","Plantation","PlantationMin","PlantationMax"
"RO",2012,47940,33558,62322
"RO",2013,48064,33645,62483
"RO",2014,48188,33731,62644
"RO",2015,48312,33818,62805
"RO",2016,48323,33826,62820
"RO",2017,48334,33834,62834
"RO",2018,48345,33841,62849
"RO",2019,48356,33849,62863
"RO",2020,48367,33857,62878
"RO",2021,48367,33857,62878
"RO",2022,48367,33857,62878
"RO",2023,48367,33857,62878
"RO",2024,48367,33857,62878
"RO",2025,48367,33857,62878
"RO",2026,48367,33857,62878
"RO",2027,48367,33857,62878
"RO",2028,48367,33857,62878
"RO",2029,48367,33857,62878
"RO",2030,48367,33857,62878
"RO",2031,48367,33857,62878
"RO",2032,48367,33857,62878
"RO",2033,48367,33857,62878
"RO",2034,48367,33857,62878
"RO",2035,48367,33857,62878
"RO",2036,48367,33857,62878
"RO",2037,48367,33857,62878
"RO",2038,48367,33857,62878
"RO",2039,48367,33857,62878
"RO",2040,48367,33857,62878
"RO",2041,48367,33857,62878
"RO",2042,48367,33857,62878
"RO",2043,48367,33857,62878
"RO",2044,48367,33857,62878
"RO",2045,48367,33857,62878
"RO",2046,48367,33857,62878
"RO",2047,48367,33857,62878
"RO",2048,48367,33857,62878
"RO",2049,48367,33857,62878
"RO",2050,48367,33857,62878
