"Region","Year","Plantation","PlantationMin","PlantationMax"
"LV",2012,35458,24820,46095
"LV",2013,36842,25789,47895
"LV",2014,38226,26758,49695
"LV",2015,39611,27727,51494
"LV",2016,41011,28708,53314
"LV",2017,42411,29688,55135
"LV",2018,43811,30668,56955
"LV",2019,45211,31648,58775
"LV",2020,46612,32628,60595
"LV",2021,48024,33616,62431
"LV",2022,49435,34605,64266
"LV",2023,50847,35593,66102
"LV",2024,52259,36581,67937
"LV",2025,53671,37570,69773
"LV",2026,55092,38564,71620
"LV",2027,56513,39559,73467
"LV",2028,57934,40554,75315
"LV",2029,59355,41548,77162
"LV",2030,60776,42543,79009
"LV",2031,62204,43543,80866
"LV",2032,63632,44542,82722
"LV",2033,65060,45542,84579
"LV",2034,66488,46542,86435
"LV",2035,67916,47541,88292
"LV",2036,69350,48545,90155
"LV",2037,70783,49548,92018
"LV",2038,72216,50551,93882
"LV",2039,73650,51555,95745
"LV",2040,75083,52558,97608
"LV",2041,76510,53557,99463
"LV",2042,77937,54556,101318
"LV",2043,79364,55555,103173
"LV",2044,80791,56553,105028
"LV",2045,82218,57552,106883
"LV",2046,83314,58320,108309
"LV",2047,84411,59087,109734
"LV",2048,85507,59855,111160
"LV",2049,86604,60622,112585
"LV",2050,87700,61390,114010
