"Region","Year","Plantation","PlantationMin","PlantationMax"
"BG",2012,54249,37974,70524
"BG",2013,56139,39297,72981
"BG",2014,58028,40620,75437
"BG",2015,59918,41942,77893
"BG",2016,61416,42991,79841
"BG",2017,62914,44040,81789
"BG",2018,64413,45089,83737
"BG",2019,65911,46138,85684
"BG",2020,67409,47186,87632
"BG",2021,68711,48098,89325
"BG",2022,70013,49009,91017
"BG",2023,71315,49921,92710
"BG",2024,72617,50832,94402
"BG",2025,73919,51743,96095
"BG",2026,75219,52653,97785
"BG",2027,76519,53563,99475
"BG",2028,77820,54474,101166
"BG",2029,79120,55384,102856
"BG",2030,80420,56294,104546
"BG",2031,81683,57178,106188
"BG",2032,82947,58063,107831
"BG",2033,84210,58947,109473
"BG",2034,85473,59831,111115
"BG",2035,86737,60716,112758
"BG",2036,87735,61415,114056
"BG",2037,88734,62114,115354
"BG",2038,89733,62813,116653
"BG",2039,90731,63512,117951
"BG",2040,91730,64211,119249
"BG",2041,92431,64702,120161
"BG",2042,93132,65193,121072
"BG",2043,93834,65683,121984
"BG",2044,94535,66174,122895
"BG",2045,95236,66665,123807
"BG",2046,95862,67104,124621
"BG",2047,96489,67542,125436
"BG",2048,97115,67981,126250
"BG",2049,97742,68419,127065
"BG",2050,98368,68858,127879
