"Region","Year","Plantation","PlantationMin","PlantationMax"
"FR",2012,256326,179428,333224
"FR",2013,274928,192449,357406
"FR",2014,293529,205470,381588
"FR",2015,312131,218492,405770
"FR",2016,315979,221185,410773
"FR",2017,319828,223879,415776
"FR",2018,323676,226573,420779
"FR",2019,327524,229267,425782
"FR",2020,331373,231961,430785
"FR",2021,331449,232014,430884
"FR",2022,331526,232068,430984
"FR",2023,331602,232121,431083
"FR",2024,331679,232175,431182
"FR",2025,331755,232228,431282
"FR",2026,331832,232282,431381
"FR",2027,331908,232335,431480
"FR",2028,331984,232389,431579
"FR",2029,332060,232442,431679
"FR",2030,332137,232496,431778
"FR",2031,332213,232549,431877
"FR",2032,332289,232602,431976
"FR",2033,332365,232656,432075
"FR",2034,332442,232709,432174
"FR",2035,332518,232762,432273
"FR",2036,332594,232816,432372
"FR",2037,332670,232869,432471
"FR",2038,332746,232922,432570
"FR",2039,332822,232975,432669
"FR",2040,332898,233029,432768
"FR",2041,332959,233071,432847
"FR",2042,333020,233114,432926
"FR",2043,333081,233156,433005
"FR",2044,333142,233199,433084
"FR",2045,333202,233241,433163
"FR",2046,333202,233241,433163
"FR",2047,333202,233241,433163
"FR",2048,333202,233241,433163
"FR",2049,333202,233241,433163
"FR",2050,333202,233241,433163
