"Region","Year","Plantation","PlantationMin","PlantationMax"
"SI",2012,9643,6750,12536
"SI",2013,9643,6750,12536
"SI",2014,9643,6750,12536
"SI",2015,9643,6750,12536
"SI",2016,10019,7013,13025
"SI",2017,10395,7276,13514
"SI",2018,10771,7540,14003
"SI",2019,11147,7803,14492
"SI",2020,11523,8066,14981
"SI",2021,12088,8462,15715
"SI",2022,12653,8857,16449
"SI",2023,13218,9252,17183
"SI",2024,13783,9648,17918
"SI",2025,14348,10043,18652
"SI",2026,14612,10228,18996
"SI",2027,14876,10413,19340
"SI",2028,15141,10598,19683
"SI",2029,15405,10784,20027
"SI",2030,15670,10969,20371
"SI",2031,15722,11005,20438
"SI",2032,15773,11041,20505
"SI",2033,15825,11077,20573
"SI",2034,15877,11113,20640
"SI",2035,15928,11150,20707
"SI",2036,15944,11160,20727
"SI",2037,15959,11171,20747
"SI",2038,15974,11182,20767
"SI",2039,15989,11192,20786
"SI",2040,16005,11203,20806
"SI",2041,16020,11214,20826
"SI",2042,16035,11225,20846
"SI",2043,16051,11235,20866
"SI",2044,16066,11246,20886
"SI",2045,16081,11257,20906
"SI",2046,16096,11267,20925
"SI",2047,16112,11278,20945
"SI",2048,16127,11289,20965
"SI",2049,16142,11299,20985
"SI",2050,16158,11310,21005
