"Region","Year","Plantation","PlantationMin","PlantationMax"
"HU",2012,45861,32102,59619
"HU",2013,47197,33038,61356
"HU",2014,48533,33973,63093
"HU",2015,49869,34908,64830
"HU",2016,51000,35700,66300
"HU",2017,52131,36491,67770
"HU",2018,53261,37283,69240
"HU",2019,54392,38075,70710
"HU",2020,55523,38866,72180
"HU",2021,56571,39599,73542
"HU",2022,57618,40332,74903
"HU",2023,58665,41065,76265
"HU",2024,59712,41799,77626
"HU",2025,60760,42532,78988
"HU",2026,61705,43193,80216
"HU",2027,62650,43855,81445
"HU",2028,63595,44516,82673
"HU",2029,64540,45178,83902
"HU",2030,65485,45839,85130
"HU",2031,66204,46342,86065
"HU",2032,66923,46846,87000
"HU",2033,67642,47349,87934
"HU",2034,68361,47852,88869
"HU",2035,69080,48356,89804
"HU",2036,69400,48580,90221
"HU",2037,69721,48805,90638
"HU",2038,70042,49029,91054
"HU",2039,70363,49254,91471
"HU",2040,70683,49478,91888
"HU",2041,70754,49528,91980
"HU",2042,70824,49577,92072
"HU",2043,70895,49626,92164
"HU",2044,70966,49676,92255
"HU",2045,71036,49725,92347
"HU",2046,71075,49753,92398
"HU",2047,71115,49780,92449
"HU",2048,71154,49807,92500
"HU",2049,71193,49835,92551
"HU",2050,71232,49862,92602
