"Region","Year","Plantation","PlantationMin","PlantationMax"
"LT",2012,29976,20983,38969
"LT",2013,31174,21822,40527
"LT",2014,32372,22660,42084
"LT",2015,33570,23499,43642
"LT",2016,34783,24348,45218
"LT",2017,35995,25197,46794
"LT",2018,37208,26045,48370
"LT",2019,38420,26894,49946
"LT",2020,39633,27743,51523
"LT",2021,40856,28599,53113
"LT",2022,42079,29455,54703
"LT",2023,43302,30311,56292
"LT",2024,44525,31167,57882
"LT",2025,45748,32023,59472
"LT",2026,46979,32885,61073
"LT",2027,48210,33747,62673
"LT",2028,49441,34609,64273
"LT",2029,50672,35470,65874
"LT",2030,51903,36332,67474
"LT",2031,53141,37198,69083
"LT",2032,54378,38065,70692
"LT",2033,55616,38931,72301
"LT",2034,56853,39797,73909
"LT",2035,58091,40663,75518
"LT",2036,59333,41533,77133
"LT",2037,60575,42402,78747
"LT",2038,61817,43271,80362
"LT",2039,63058,44141,81976
"LT",2040,64300,45010,83591
"LT",2041,65531,45871,85190
"LT",2042,66761,46733,86790
"LT",2043,67991,47594,88389
"LT",2044,69222,48455,89988
"LT",2045,70452,49316,91588
"LT",2046,71663,50164,93162
"LT",2047,72873,51011,94735
"LT",2048,74084,51859,96309
"LT",2049,75295,52706,97883
"LT",2050,76505,53553,99457
