"Region","Year","Plantation","PlantationMin","PlantationMax"
"DK",2012,13181,9227,17135
"DK",2013,13559,9491,17627
"DK",2014,13938,9756,18119
"DK",2015,14316,10021,18611
"DK",2016,14695,10286,19104
"DK",2017,15074,10551,19596
"DK",2018,15452,10817,20088
"DK",2019,15831,11082,20580
"DK",2020,16210,11347,21073
"DK",2021,16589,11612,21565
"DK",2022,16968,11877,22058
"DK",2023,17347,12142,22551
"DK",2024,17726,12408,23043
"DK",2025,18104,12673,23536
"DK",2026,18361,12852,23869
"DK",2027,18617,13032,24202
"DK",2028,18873,13211,24535
"DK",2029,19129,13390,24868
"DK",2030,19385,13569,25201
"DK",2031,19573,13701,25446
"DK",2032,19762,13833,25690
"DK",2033,19950,13965,25935
"DK",2034,20139,14097,26180
"DK",2035,20327,14229,26425
"DK",2036,20363,14254,26472
"DK",2037,20399,14279,26518
"DK",2038,20435,14304,26565
"DK",2039,20470,14329,26612
"DK",2040,20506,14354,26658
"DK",2041,20542,14379,26705
"DK",2042,20578,14405,26752
"DK",2043,20614,14430,26798
"DK",2044,20650,14455,26845
"DK",2045,20686,14480,26892
"DK",2046,20722,14505,26939
"DK",2047,20758,14530,26985
"DK",2048,20794,14555,27032
"DK",2049,20830,14581,27079
"DK",2050,20866,14606,27126
