"Region","Year","Plantation","PlantationMin","PlantationMax"
"HR",2012,10269,7188,13350
"HR",2013,10490,7343,13637
"HR",2014,10710,7497,13924
"HR",2015,10931,7652,14211
"HR",2016,11115,7780,14450
"HR",2017,11299,7909,14689
"HR",2018,11483,8038,14928
"HR",2019,11667,8167,15167
"HR",2020,11851,8295,15406
"HR",2021,12005,8404,15607
"HR",2022,12160,8512,15808
"HR",2023,12315,8620,16009
"HR",2024,12470,8729,16211
"HR",2025,12624,8837,16412
"HR",2026,12780,8946,16615
"HR",2027,12936,9055,16817
"HR",2028,13092,9164,17020
"HR",2029,13248,9274,17223
"HR",2030,13404,9383,17426
"HR",2031,13561,9493,17630
"HR",2032,13718,9603,17834
"HR",2033,13875,9712,18038
"HR",2034,14032,9822,18242
"HR",2035,14189,9932,18446
"HR",2036,14347,10042,18651
"HR",2037,14504,10153,18856
"HR",2038,14662,10263,19060
"HR",2039,14819,10373,19265
"HR",2040,14977,10484,19470
"HR",2041,15135,10594,19676
"HR",2042,15293,10705,19881
"HR",2043,15451,10816,20087
"HR",2044,15609,10926,20292
"HR",2045,15767,11037,20498
"HR",2046,15926,11148,20704
"HR",2047,16084,11259,20909
"HR",2048,16243,11370,21115
"HR",2049,16401,11481,21321
"HR",2050,16559,11591,21527
