"Region","Year","Plantation","PlantationMin","PlantationMax"
"PL",2012,122963,86074,159852
"PL",2013,125224,87657,162791
"PL",2014,127485,89239,165731
"PL",2015,129746,90822,168670
"PL",2016,131984,92388,171579
"PL",2017,134222,93955,174488
"PL",2018,136459,95521,177397
"PL",2019,138697,97088,180306
"PL",2020,140935,98654,183215
"PL",2021,142883,100018,185748
"PL",2022,144831,101382,188281
"PL",2023,146779,102745,190813
"PL",2024,148727,104109,193346
"PL",2025,150676,105473,195878
"PL",2026,152420,106694,198147
"PL",2027,154165,107915,200415
"PL",2028,155910,109137,202683
"PL",2029,157655,110358,204951
"PL",2030,159399,111579,207219
"PL",2031,161028,112719,209337
"PL",2032,162657,113860,211454
"PL",2033,164286,115000,213572
"PL",2034,165915,116140,215689
"PL",2035,167543,117280,217807
"PL",2036,168954,118268,219640
"PL",2037,170364,119255,221474
"PL",2038,171775,120242,223307
"PL",2039,173185,121230,225141
"PL",2040,174596,122217,226975
"PL",2041,175934,123154,228714
"PL",2042,177272,124090,230454
"PL",2043,178611,125027,232194
"PL",2044,179949,125964,233934
"PL",2045,181287,126901,235673
"PL",2046,182601,127821,237381
"PL",2047,183915,128740,239090
"PL",2048,185229,129660,240798
"PL",2049,186543,130580,242506
"PL",2050,187857,131500,244214
