"Region","Year","Plantation","PlantationMin","PlantationMax"
"AT",2012,30269,21188,39349
"AT",2013,31525,22067,40982
"AT",2014,32781,22947,42616
"AT",2015,34037,23826,44249
"AT",2016,34037,23826,44249
"AT",2017,34037,23826,44249
"AT",2018,34037,23826,44249
"AT",2019,34037,23826,44249
"AT",2020,34037,23826,44249
"AT",2021,34037,23826,44249
"AT",2022,34037,23826,44249
"AT",2023,34037,23826,44249
"AT",2024,34037,23826,44249
"AT",2025,34037,23826,44249
"AT",2026,34037,23826,44249
"AT",2027,34037,23826,44249
"AT",2028,34037,23826,44249
"AT",2029,34037,23826,44249
"AT",2030,34037,23826,44249
"AT",2031,34037,23826,44249
"AT",2032,34037,23826,44249
"AT",2033,34037,23826,44249
"AT",2034,34037,23826,44249
"AT",2035,34037,23826,44249
"AT",2036,34037,23826,44249
"AT",2037,34037,23826,44249
"AT",2038,34037,23826,44249
"AT",2039,34037,23826,44249
"AT",2040,34037,23826,44249
"AT",2041,34037,23826,44249
"AT",2042,34037,23826,44249
"AT",2043,34037,23826,44249
"AT",2044,34037,23826,44249
"AT",2045,34037,23826,44249
"AT",2046,34037,23826,44249
"AT",2047,34037,23826,44249
"AT",2048,34037,23826,44249
"AT",2049,34037,23826,44249
"AT",2050,34037,23826,44249
