"Region","Year","Plantation","PlantationMin","PlantationMax"
"DE",2012,90133,63093,117173
"DE",2013,96685,67679,125690
"DE",2014,103237,72266,134208
"DE",2015,109789,76852,142725
"DE",2016,112556,78789,146323
"DE",2017,115324,80726,149921
"DE",2018,118091,82664,153519
"DE",2019,120859,84601,157116
"DE",2020,123626,86538,160714
"DE",2021,123960,86772,161148
"DE",2022,124293,87005,161581
"DE",2023,124627,87239,162015
"DE",2024,124960,87472,162448
"DE",2025,125294,87705,162882
"DE",2026,125311,87718,162905
"DE",2027,125329,87730,162928
"DE",2028,125347,87743,162951
"DE",2029,125364,87755,162974
"DE",2030,125382,87767,162997
"DE",2031,125400,87780,163020
"DE",2032,125417,87792,163043
"DE",2033,125435,87804,163066
"DE",2034,125453,87817,163089
"DE",2035,125470,87829,163112
"DE",2036,125488,87842,163135
"DE",2037,125506,87854,163158
"DE",2038,125524,87866,163181
"DE",2039,125541,87879,163204
"DE",2040,125559,87891,163227
"DE",2041,125577,87903,163250
"DE",2042,125594,87916,163273
"DE",2043,125612,87928,163296
"DE",2044,125630,87941,163319
"DE",2045,125647,87953,163342
"DE",2046,125665,87965,163365
"DE",2047,125683,87978,163388
"DE",2048,125701,87990,163411
"DE",2049,125718,88003,163434
"DE",2050,125736,88015,163457
