"Region","Year","Plantation","PlantationMin","PlantationMax"
"UK",2012,23904,16733,31076
"UK",2013,23904,16733,31076
"UK",2014,23904,16733,31076
"UK",2015,23904,16733,31076
"UK",2016,23904,16733,31076
"UK",2017,23904,16733,31076
"UK",2018,23904,16733,31076
"UK",2019,23904,16733,31076
"UK",2020,23904,16733,31076
"UK",2021,24254,16978,31530
"UK",2022,24603,17222,31985
"UK",2023,24953,17467,32439
"UK",2024,25303,17712,32893
"UK",2025,25652,17956,33348
"UK",2026,25652,17956,33348
"UK",2027,25652,17956,33348
"UK",2028,25652,17956,33348
"UK",2029,25652,17956,33348
"UK",2030,25652,17956,33348
"UK",2031,25652,17956,33348
"UK",2032,25652,17956,33348
"UK",2033,25652,17956,33348
"UK",2034,25652,17956,33348
"UK",2035,25652,17956,33348
"UK",2036,25652,17956,33348
"UK",2037,25652,17956,33348
"UK",2038,25652,17956,33348
"UK",2039,25652,17956,33348
"UK",2040,25652,17956,33348
"UK",2041,25652,17956,33348
"UK",2042,25652,17956,33348
"UK",2043,25652,17956,33348
"UK",2044,25652,17956,33348
"UK",2045,25652,17956,33348
"UK",2046,25652,17956,33348
"UK",2047,25652,17956,33348
"UK",2048,25652,17956,33348
"UK",2049,25652,17956,33348
"UK",2050,25652,17956,33348
