"Region","Year","Plantation","PlantationMin","PlantationMax"
"CZ",2012,10968,7677,14258
"CZ",2013,11357,7949,14764
"CZ",2014,11746,8222,15269
"CZ",2015,12135,8494,15775
"CZ",2016,12527,8769,16286
"CZ",2017,12920,9044,16796
"CZ",2018,13313,9319,17307
"CZ",2019,13706,9594,17817
"CZ",2020,14098,9869,18328
"CZ",2021,14486,10140,18832
"CZ",2022,14874,10411,19336
"CZ",2023,15261,10683,19840
"CZ",2024,15649,10954,20344
"CZ",2025,16036,11225,20848
"CZ",2026,16421,11494,21347
"CZ",2027,16805,11764,21847
"CZ",2028,17190,12033,22347
"CZ",2029,17574,12302,22846
"CZ",2030,17958,12571,23346
"CZ",2031,18344,12841,23848
"CZ",2032,18730,13111,24350
"CZ",2033,19116,13381,24852
"CZ",2034,19502,13652,25353
"CZ",2035,19889,13922,25855
"CZ",2036,20261,14183,26339
"CZ",2037,20633,14443,26823
"CZ",2038,21006,14704,27308
"CZ",2039,21378,14965,27792
"CZ",2040,21751,15225,28276
"CZ",2041,22076,15453,28698
"CZ",2042,22401,15680,29121
"CZ",2043,22726,15908,29544
"CZ",2044,23051,16135,29966
"CZ",2045,23376,16363,30389
"CZ",2046,23693,16585,30801
"CZ",2047,24011,16807,31214
"CZ",2048,24328,17029,31627
"CZ",2049,24645,17252,32039
"CZ",2050,24963,17474,32452
