"Region","Year","Plantation","PlantationMin","PlantationMax"
"SE",2012,59084,41359,76810
"SE",2013,59632,41742,77521
"SE",2014,60179,42125,78233
"SE",2015,60726,42508,78944
"SE",2016,60985,42689,79280
"SE",2017,61243,42870,79616
"SE",2018,61501,43051,79952
"SE",2019,61760,43232,80288
"SE",2020,62018,43412,80624
"SE",2021,62187,43531,80844
"SE",2022,62357,43649,81064
"SE",2023,62526,43768,81284
"SE",2024,62695,43886,81504
"SE",2025,62864,44005,81724
"SE",2026,63035,44125,81946
"SE",2027,63206,44244,82168
"SE",2028,63377,44364,82390
"SE",2029,63548,44483,82612
"SE",2030,63719,44603,82835
"SE",2031,63887,44721,83054
"SE",2032,64056,44839,83273
"SE",2033,64224,44957,83492
"SE",2034,64393,45075,83711
"SE",2035,64561,45193,83930
"SE",2036,64726,45308,84143
"SE",2037,64890,45423,84357
"SE",2038,65054,45538,84570
"SE",2039,65218,45652,84784
"SE",2040,65382,45767,84997
"SE",2041,65546,45882,85210
"SE",2042,65710,45997,85423
"SE",2043,65873,46111,85635
"SE",2044,66037,46226,85848
"SE",2045,66201,46340,86061
"SE",2046,66364,46455,86274
"SE",2047,66528,46570,86487
"SE",2048,66692,46684,86700
"SE",2049,66856,46799,86912
"SE",2050,67019,46913,87125
