"Region","Year","Plantation","PlantationMin","PlantationMax"
"SK",2012,6077,4254,7900
"SK",2013,6312,4418,8206
"SK",2014,6547,4583,8511
"SK",2015,6782,4747,8817
"SK",2016,7019,4913,9125
"SK",2017,7256,5079,9433
"SK",2018,7493,5245,9741
"SK",2019,7730,5411,10049
"SK",2020,7967,5577,10357
"SK",2021,8205,5744,10667
"SK",2022,8444,5911,10977
"SK",2023,8682,6078,11287
"SK",2024,8921,6244,11597
"SK",2025,9159,6411,11907
"SK",2026,9393,6575,12211
"SK",2027,9626,6738,12514
"SK",2028,9860,6902,12818
"SK",2029,10093,7065,13121
"SK",2030,10326,7228,13424
"SK",2031,10551,7386,13717
"SK",2032,10776,7543,14009
"SK",2033,11001,7701,14302
"SK",2034,11226,7858,14594
"SK",2035,11451,8016,14887
"SK",2036,11662,8163,15161
"SK",2037,11873,8311,15435
"SK",2038,12083,8458,15708
"SK",2039,12294,8606,15982
"SK",2040,12504,8753,16256
"SK",2041,12716,8901,16530
"SK",2042,12927,9049,16805
"SK",2043,13138,9196,17079
"SK",2044,13349,9344,17354
"SK",2045,13560,9492,17628
"SK",2046,13772,9640,17903
"SK",2047,13983,9788,18179
"SK",2048,14195,9936,18454
"SK",2049,14407,10084,18729
"SK",2050,14618,10233,19004
