ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;541391;379830;391741;399867;407394;433557;443504;469053
0.85;658275;572300;409273;416976;424925;447535;456869;479875
0.9;699968;573465;411115;419475;427732;450508;458838;482286
0.91;699995;573631;411372;419911;428037;451037;459420;482665
0.92;699999;573767;411657;420327;428546;451473;459875;483084
0.93;700000;573895;411930;420681;429037;451880;460349;483515
0.94;745027;574560;412645;421475;429726;452632;461177;484071
0.95;840033;576853;414758;423513;431832;454431;463051;485261
0.96;849999;576991;415058;423816;432133;454856;463498;485590
0.97;849999;577117;415274;424189;432610;455186;463873;485949
0.98;849999;577229;415549;424479;432883;455545;464294;486313
0.99;852371;577389;415868;424845;433274;455853;464723;486643
1;856249;577606;416225;425179;433787;456169;465082;486947
1.01;864764;577803;416515;425538;434140;456485;465464;487261
1.02;881443;578042;416878;425951;434596;456784;465845;487571
1.03;889062;578200;417156;426331;435128;457086;466174;487844
1.04;893418;578322;417500;426607;435673;457410;466574;488119
1.05;895930;578466;417767;426974;435914;457729;466944;488362
1.06;897223;578607;418042;427346;436246;458025;467263;488638
1.07;897499;578702;418343;427698;436740;458337;467573;488881
1.08;898646;578829;418614;428027;437139;458626;467880;489111
1.09;899448;578928;418904;428368;437572;458940;468243;489359
1.1;899785;579042;419233;428703;437672;459154;468659;489588
1.15;899985;579724;420758;430239;439507;460882;470722;490599
1.2;899995;580443;426337;432000;441560;462788;472645;491367
