ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;470009;-100165;-100293;0;342720;342619;0;470010
0.85;470028;-100194;-100384;0;342652;342361;0;470029
0.9;470176;-100224;-100537;0;342467;342152;0;470195
0.91;470285;-100238;-100609;0;342402;342008;0;470314
0.92;470569;-100251;-100662;0;342348;341912;0;470654
0.93;471060;-100259;-100737;0;342314;341868;0;471202
0.94;471882;-100270;-100843;0;342289;341853;0;472107
0.95;473628;-100277;-100993;0;342215;340864;0;474220
0.96;476911;-100288;-101099;0;342149;339974;0;478172
0.97;481763;-100293;-101292;0;342142;338776;0;482259
0.98;485253;-100302;-101447;0;342073;337279;0;485926
0.99;489180;-100312;-101611;0;341948;335525;0;490364
1;496259;-100325;-101881;0;341877;334763;0;497724
1.01;499999;-100336;-101949;0;341857;328942;0;499999
1.02;509602;-100355;-102041;0;341843;324062;0;499999
1.03;526761;-100376;-102153;0;340953;319996;0;499999
1.04;545304;-100395;-102442;0;340316;319994;0;499999
1.05;566588;-100426;-102632;0;339111;319993;0;499999
1.06;586344;-100444;-102741;0;338107;319991;0;499999
1.07;601433;-100462;-102984;0;337133;319989;0;499999
1.08;617148;-100485;-103399;0;335201;319990;0;499999
1.09;629468;-100524;-103641;0;331976;319995;0;499999
1.1;630115;-100571;-103855;0;326322;319993;0;499999
1.15;630543;-100932;-117071;0;322004;319983;0;499999
1.2;631934;-101547;-169691;0;319982;317722;0;499999
