NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
CH07,322276,335720,348903,364940,380761,396103,410385,423056,433577,441042,445463,448460
CY00,766414,819140,873003,890982,905790,921058,938791,962786,995051,1035392,1078890,1119229
CZ01,1181610,1227932,1260879,1311121,1362718,1415497,1470099,1533440,1604157,1670551,1729257,1780158
CZ02,1158108,1247330,1321562,1403041,1480833,1555194,1629536,1709415,1791685,1867361,1933972,1992027
CZ03,1179294,1205834,1210974,1220384,1225482,1226569,1226392,1229251,1233371,1233395,1228927,1220916
CZ04,1127447,1133425,1120763,1108088,1092434,1075343,1058199,1044010,1031003,1013924,993099,970174
CZ05,1483423,1506467,1505346,1506654,1504354,1497574,1488841,1483960,1481528,1475256,1464009,1448118
CZ06,1641125,1671993,1682851,1696749,1704223,1704641,1702419,1704789,1709765,1709583,1702650,1689743
CZ07,1229303,1229931,1219187,1207573,1190803,1168756,1144863,1123709,1103553,1079991,1052798,1022801
CZ08,1250769,1239176,1214477,1191254,1164699,1134571,1103739,1076580,1051271,1022732,990893,957376
DE11,4007373,4000848,3985483,4035887,4073171,4095701,4100780,4084091,4049400,3998965,3934410,3861668
DE12,2732455,2740503,2728540,2755831,2778296,2793514,2797723,2786100,2760520,2723846,2679269,2632701
DE13,2190727,2196018,2193769,2222438,2243735,2256490,2258709,2247839,2225333,2192960,2153004,2110315
DE14,1805146,1807552,1794045,1804257,1808289,1805040,1792565,1768475,1734409,1692215,1643994,1593774
DE21,4238195,4346465,4494294,4715285,4921824,5109095,5274016,5415116,5538153,5643522,5727762,5792648
DE22,1196923,1189194,1185068,1195740,1203242,1206093,1202447,1190121,1169945,1143774,1113732,1082595
DE23,1089543,1081417,1068343,1067408,1064454,1058049,1046452,1027713,1002752,973333,941144,908594
DE24,1101390,1076400,1038601,1013051,986259,956946,924314,886871,845138,800504,754608,709958
DE25,1712275,1710145,1711521,1742755,1769906,1791347,1805672,1811290,1810138,1803511,1792024,1777871
DE26,1341481,1321957,1285511,1263170,1236123,1203352,1164342,1117702,1064728,1007363,947586,888635
DE27,1788919,1784753,1776043,1793954,1807767,1814479,1811706,1797651,1774432,1743896,1707459,1668244
DE30,3395189,3442675,3559332,3748658,3931870,4100508,4256936,4405107,4548599,4686230,4814214,4933195
DE41,1159168,1.137.448.231,1.104.668.853,1.073.978.663,1.031.307.229,9.816.630.787,9.315.048.963,8.811.012.468,8.271.011.861,7.680.876.169,7.063.141.271,6.473.390.537
DE42,1400315,1.374.076.769,1.334.478.147,1.297.403.337,1.245.854.771,1.185.882.921,1.125.290.104,1.064.400.753,9.991.668.139,9.278.763.831,8.532.518.729,7.820.079.463
DE50,663467,661716,651555,652761,653415,653101,651589,648341,643889,638367,631705,624540
DE60,1743627,1774224,1804407,1862819,1921589,1977956,2030886,2079178,2123658,2163170,2195916,2222569
DE71,3778124,3792941,3833497,3941364,4041408,4131498,4207956,4265760,4308623,4338599,4356169,4366363
DE72,1061323,1044269,1012833,993628,973117,950464,924319,892746,856484,817155,776538,737429
DE73,1252907,1224741,1185039,1159921,1132387,1101306,1066048,1025729,981526,934722,886308,838432
DE80,1707266,1651216,1586098,1526700,1451567,1368471,1285886,1203097,1115515,1022393,928225,840699
DE91,1650435,1616720,1568587,1543330,1514709,1481852,1444163,1400282,1351564,1299246,1244506,1190249
DE92,2163919,2142440,2094649,2074014,2049120,2019384,1983796,1939906,1888875,1832037,1770971,1709696
DE93,1704133,1693654,1657073,1633846,1605493,1570759,1528817,1477943,1419564,1355546,1287682,1219708
DE94,2475459,2476001,2446486,2441847,2430863,2410782,2378272,2329520,2267383,2195882,2117852,2037649
DEA1,5226648,5172839,5049127,5000567,4948832,4890211,4821226,4735270,4635651,4526209,4411110,4298863
DEA2,4378622,4383044,4361244,4395410,4421786,4437821,4439475,4419947,4382039,4329443,4266476,4202001
DEA3,2622623,2597636,2552627,2540617,2527823,2511223,2485143,2443786,2389481,2326983,2260826,2196079
DEA4,2069758,2043212,1981672,1946557,1908314,1866339,1818328,1760470,1693615,1619948,1542267,1465008
DEA5,3760454,3676032,3537319,3449936,3360119,3264985,3160689,3041787,2911393,2774226,2634762,2499468
DEB1,1521494,1490711,1435631,1397356,1356179,1310571,1259418,1201035,1136888,1069266,1000371,933384
DEB2,513363,513794,503229,497419,490650,482588,472642,459910,444536,427198,408675,390120
DEB3,2023986,2008170,1980187,1977060,1969800,1956696,1935870,1904591,1864525,1818260,1768541,1719647
dec-00,1050293,1022585,983236,953741,922954,890323,855187,816023,773339,728855,684617,642964
DED1,1537203,1.495.446.767,1.447.312.188,1.412.959.191,1.370.291.681,1.322.856.454,1.277.025.968,1.233.428.344,1.189.522.252,1.144.451.163,1.099.209.946,1.057.264.746
DED2,1662482,1631486,1596063,1570652,1531548,1484223,1438568,1397198,1356538,1313253,1266953,1222002
DED3,1074069,1.044.893.233,1.011.260.812,9.872.578.088,9.574.453.185,9.243.015.457,8.922.790.318,8.618.166.556,8.311.387.476,7.996.468.368,7.680.360.544,7.387.282.541
DEE0,2469716,2356219,2220943,2096444,1957388,1811439,1668998,1530383,1390935,1249392,1109585,979627
DEF0,2832950,2832027,2799790,2793409,2775837,2746527,2705840,2653128,2591013,2520307,2441432,2359423
DEG0,2334575,2249882,2149557,2057965,1950753,1834329,1719589,1606537,1490431,1370648,1251194,1140088
DK01,1630852,1680271,1767662,1861518,1965064,2072150,2176809,2276593,2371992,2461945,2547514,2631993
DK02,813178,820564,813827,806317,798677,789352,776605,759181,737928,714681,691055,668687
DK03,1185530,1200277,1202669,1206161,1211645,1215512,1214670,1207875,1196279,1182001,1167110,1153881
