NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
UKK4,1115002,1127629,1154192,1175925,1193827,1207203,1216203,1223230,1230535,1237865,1243631,1247726
UKL1,1878273,1924712,1945826,1966418,1984591,1997016,2003694,2008385,2013888,2019152,2021603,2021725
UKL2,1077754,1119494,1147478,1176655,1204555,1229911,1252197,1273241,1294572,1315316,1334102,1351113
UKM2,1941100,1997342,2057833,2117030,2177082,2233846,2284703,2331459,2376504,2419180,2458009,2494092
UKM3,2283400,2317233,2334977,2355071,2376110,2392437,2402207,2407960,2411473,2411659,2407678,2401914
UKM5,441300,468596,490362,513211,537224,560249,581486,601886,622383,642879,662719,681508
UKM6,440200,463388,468857,475279,479912,482510,482975,482049,480510,478494,475877,472998
UKN0,1733000,1799019,1843396,1888797,1927275,1958025,1982796,2005841,2028463,2047122,2058424,2063707
HR01,1666733,1.611.460.921,1.583.663.561,1.560.249.765,1.535.952.892,1.511.225.086,1.485.571.223,1.459.047.681,1.433.115.834,1.408.333.883,1.384.055.989,1.359.952.254
HR02,1319161,1.275.415.079,1.253.414.439,1.234.883.235,1.215.653.108,1.196.081.914,1.175.777.777,1.154.785.319,1.134.261.166,1.114.647.117,1.095.432.011,1.076.354.746
HR03,1456990,1415971,1407922,1403750,1393674,1379734,1362961,1344125,1324645,1305431,1286661,1268342
