NUTS2,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
DE27,0,711,2521,3942,5129,5833,6141,6012,5610
DE30,0,99,4120,7674,11110,14064,16943,19546,22091
DE41,0,-338,-1166,-2636,-4409,-6299,-8210,-10347,-12718
DE42,0,359,263,-1404,-3716,-6271,-8934,-11982,-15455
DE50,0,-8,343,581,792,917,997,1009,993
DE60,0,319,2506,4428,6337,7990,9568,10943,12229
DE71,0,1934,7452,12185,16647,20441,23718,26377,28672
DE72,0,-34,-154,-512,-1007,-1745,-2766,-4074,-5560
DE73,0,181,86,-356,-975,-1909,-3083,-4526,-6110
DE80,0,-484,-1166,-2971,-5150,-7587,-10072,-12929,-16039
DE91,0,131,317,-56,-713,-1749,-3119,-4825,-6741
DE92,0,145,673,723,493,-122,-1095,-2462,-4094
DE93,0,201,607,477,-24,-992,-2389,-4233,-6374
DE94,0,1050,2806,3851,4545,4678,4297,3378,1996
DEA1,0,87,1075,1280,1048,160,-1381,-3599,-6218
DEA2,0,1469,4780,7276,9422,10908,11768,11927,11634
DEA3,0,571,1611,2279,2759,2820,2360,1395,-236
DEA4,0,274,165,-358,-1090,-2178,-3691,-5654,-7936
DEA5,0,-522,-1915,-3844,-6059,-8815,-12170,-16105,-20359
DEB1,0,94,-482,-1765,-3454,-5704,-8490,-11803,-15418
DEB2,0,225,528,604,574,335,-91,-750,-1550
DEB3,0,757,2161,2992,3509,3560,3143,2253,816
Dec-00,0,-67,-802,-1823,-3003,-4394,-6033,-7918,-9935
DED1,0,-178,-627,-1466,-2456,-3488,-4466,-5513,-6602
DED2,0,196,506,-168,-1235,-2422,-3473,-4614,-5882
DED3,0,162,101,-676,-1714,-2835,-3918,-5096,-6343
DEE0,0,-1436,-7141,-14769,-23175,-31680,-40090,-48772,-57720
DEF0,0,479,1768,2388,2672,2428,1728,562,-904
DEG0,0,-27,-2381,-6246,-10782,-15518,-20282,-25387,-30767
DK01,0,728,4396,8059,11882,15474,18992,22285,25477
DK02,0,354,615,735,771,612,148,-552,-1369
DK03,0,92,1308,2275,3150,3729,4088,4185,4177
DK04,0,511,2130,3957,5850,7551,9050,10308,11469
DK05,0,-228,-81,215,516,656,696,621,521
EE00,0,-343,800,1435,2135,2667,3454,4009,4571
ES11,0,744,383,-1185,-2517,-3238,-3200,-2634,-1903
ES12,0,-192,-592,-1115,-1521,-1801,-1946,-2032,-2091
ES13,0,-62,-65,-131,-128,-39,160,389,606
ES21,0,-138,-446,-996,-1412,-1597,-1481,-1190,-839
ES22,0,154,409,572,798,1100,1499,1947,2414
ES23,0,-27,-108,-211,-268,-279,-230,-154,-65
ES24,0,-147,-262,-495,-563,-458,-141,294,786
ES30,0,44,112,-314,-80,1007,3140,5732,8564
ES41,0,-166,-1186,-2662,-3880,-4757,-5224,-5495,-5726
ES42,0,225,652,1013,1807,3088,4859,6899,8934
ES43,0,121,281,377,563,819,1162,1519,1841
ES51,0,-1209,-2808,-4475,-4730,-3481,-574,3302,7032
ES52,0,-1529,-3810,-6073,-7527,-8106,-7685,-6664,-5441
ES53,0,-357,445,1176,2078,2987,4045,5084,6170
ES61,0,-128,2002,4014,6748,10107,14286,18743,23075
ES62,0,-157,-200,-217,-109,115,448,741,1043
