NUTS2,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
AL01,0,0,0,0,0,0,0,0,0
AT11,0,359,1189,1961,2683,3298,3795,4123,4277
AT12,0,888,3260,5597,7740,9501,10921,11908,12361
AT13,0,535,2567,4675,6866,8894,10850,12647,14308
AT21,0,206,549,772,939,967,911,728,434
AT22,0,744,2378,3754,4983,5929,6654,7101,7254
AT31,0,597,1952,3167,4257,5100,5749,6146,6259
AT32,0,222,1108,1824,2509,3005,3429,3704,3892
AT33,0,433,1899,3174,4418,5394,6256,6898,7402
AT34,0,216,827,1366,1876,2287,2633,2876,3024
BA01,0,0,0,0,0,0,0,0,0
BA02,0,0,0,0,0,0,0,0,0
BA03,0,0,0,0,0,0,0,0,0
BE10,0,887,3090,5202,7470,9567,11696,13627,15464
BE21,0,2941,8895,14664,20478,26158,31811,37137,42004
BE22,0,1651,4557,7160,9621,11847,13908,15609,16906
BE23,0,2143,6553,10736,14933,19048,23091,26807,30108
BE24,0,1212,4105,7037,10104,13116,16079,18805,21282
BE25,0,1631,4414,6664,8764,10499,12116,13372,14355
BE31,0,381,1347,2348,3376,4344,5242,6028,6726
BE32,0,901,3217,5922,8876,11826,14651,17207,19479
BE33,0,1188,3560,6088,8744,11328,13837,16143,18242
BE34,0,611,1636,2610,3623,4584,5525,6374,7158
BE35,0,658,2029,3429,4866,6240,7538,8698,9745
BG31,0,-1819,-4190,-5975,-7501,-8854,-10007,-11077,-12060
BG32,0,-21,-816,-2072,-3471,-4849,-6005,-7091,-8110
BG33,0,1044,1825,1828,1647,1440,1505,1488,1433
BG34,0,-2481,-3720,-4551,-5115,-5576,-5789,-6043,-6249
BG41,0,-649,100,656,1178,1675,2425,3137,3865
BG42,0,233,428,30,-505,-1067,-1480,-1980,-2516
CH01,0,0,0,0,0,0,0,0,0
CH02,0,0,0,0,0,0,0,0,0
CH03,0,0,0,0,0,0,0,0,0
CH04,0,0,0,0,0,0,0,0,0
CH05,0,0,0,0,0,0,0,0,0
CH06,0,0,0,0,0,0,0,0,0
CH07,0,0,0,0,0,0,0,0,0
CY00,0,3809,4281,4887,5594,6434,7517,8911,10616
CZ01,0,-449,1671,3650,5803,7739,9924,12034,14111
CZ02,0,1388,5578,9647,13672,17723,22110,26645,30986
CZ03,0,-153,824,1597,2301,2882,3574,4231,4787
CZ04,0,124,541,640,665,588,640,669,513
CZ05,0,-396,471,1171,1803,2275,2894,3499,4008
CZ06,0,-89,948,1830,2611,3248,4045,4844,5532
CZ07,0,-143,89,122,5,-245,-385,-549,-838
CZ08,0,-256,-567,-1012,-1568,-2204,-2701,-3178,-3784
DE11,0,1100,4928,7901,10404,12138,13177,13481,13258
DE12,0,1360,4431,6801,8856,10297,11140,11320,11061
DE13,0,1344,4047,6092,7847,9027,9760,9937,9758
DE14,0,797,2518,3726,4649,5101,5112,4651,3860
DE21,0,2454,10562,17775,24651,30589,36016,40736,45068
DE22,0,1175,2847,4060,5066,5690,5975,5863,5502
DE23,0,369,1139,1656,2031,2111,1903,1378,659
DE24,0,112,16,-291,-685,-1278,-2027,-2979,-4035
DE25,0,756,2995,4801,6416,7643,8583,9193,9616
DE26,0,434,588,198,-524,-1700,-3290,-5308,-7593
DE27,0,775,2712,4228,5500,6257,6599,6478,6072
DE30,0,58,4348,8114,11763,14881,17924,20660,23336
DE41,0,-322,-1108,-2546,-4285,-6152,-8038,-10158,-12511
DE42,0,471,355,-870,-2594,-4534,-6557,-8898,-11570
DE50,0,-9,381,646,881,1020,1111,1126,1110
DE60,0,320,2642,4667,6680,8412,10068,11502,12845
DE71,0,2150,8284,13541,18499,22712,26351,29303,31852
DE72,0,-13,-86,-390,-819,-1480,-2401,-3591,-4946
DE73,0,251,246,-110,-628,-1460,-2513,-3832,-5281
DE80,0,-465,-838,-2255,-3986,-5994,-8041,-10447,-13069
DE91,0,152,411,154,-342,-1191,-2324,-3764,-5385
DE92,0,164,757,839,700,189,-643,-1846,-3286
DE93,0,227,685,600,218,-607,-1814,-3439,-5329
DE94,0,1325,3511,4804,5639,5769,5229,4006,2363
DEA1,0,100,1213,1469,1392,684,-602,-2522,-4799
DEA2,0,1661,5405,8229,10654,12335,13306,13485,13152
DEA3,0,652,1843,2607,3154,3221,2688,1574,113
DEA4,0,347,309,-124,-744,-1703,-3046,-4807,-6856
DEA5,0,-392,-1582,-3303,-5285,-7793,-10855,-14472,-18384
DEB1,0,157,-222,-1250,-2624,-4511,-6859,-9682,-12764
DEB2,0,253,593,696,713,523,165,-417,-1127
DEB3,0,881,2519,3485,4082,4132,3628,2570,1162
DEC0,0,-11,-619,-1490,-2499,-3702,-5120,-6761,-8516
DED1,0,-142,-520,-1288,-2197,-3159,-4069,-5053,-6076
DED2,0,226,598,104,-725,-1692,-2538,-3486,-4543
DED3,0,195,213,-342,-1103,-1955,-2774,-3687,-4654
DEE0,0,-1139,-5695,-11878,-18695,-25627,-32479,-39578,-46895
DEF0,0,526,1944,2633,2967,2728,2118,1057,-286
DEG0,0,105,-1663,-4717,-8314,-12113,-15932,-20056,-24403
DK01,0,718,4597,8446,12466,16227,19913,23352,26688
DK02,0,402,697,832,871,696,304,-306,-1019
DK03,0,198,1685,2876,3947,4654,5079,5181,5147
DK04,0,568,2362,4383,6479,8360,10019,11412,12695
DK05,0,-192,7,310,620,775,847,807,747
EE00,0,-387,936,1725,2597,3255,4164,4807,5461
ES11,0,843,432,-948,-2086,-2688,-2608,-2066,-1375
ES12,0,-192,-570,-1067,-1447,-1708,-1835,-1908,-1954
ES13,0,-50,-21,-54,-23,76,272,489,697
ES21,0,-136,-379,-855,-1203,-1347,-1207,-913,-562
ES22,0,174,462,647,902,1244,1696,2203,2732
ES23,0,-23,-86,-172,-214,-215,-161,-83,6
ES24,0,-168,-246,-438,-471,-348,-22,409,895
ES30,0,45,225,-74,256,1364,3511,6302,9351
ES41,0,-183,-1053,-2358,-3420,-4180,-4560,-4771,-4942
ES42,0,209,659,1038,1852,3150,4940,6996,9046
ES43,0,122,299,409,610,881,1241,1613,1949
ES51,0,-1142,-2302,-3572,-3578,-2302,449,4015,7964
ES52,0,-1418,-3234,-5063,-6186,-6584,-6116,-5156,-4018
ES53,0,-379,516,1383,2471,3596,4915,6233,7612
ES61,0,-164,2203,4435,7463,11172,15784,20698,25474
ES62,0,-144,-146,-134,-15,193,510,872,1244
ES63,0,0,0,0,0,0,0,0,0
ES64,0,0,0,0,0,0,0,0,0
FI13,0,-420,257,727,1206,1509,1806,1980,2152
FI18,0,1023,5297,8918,12467,15356,18022,20179,22167
FI19,0,41,1371,2398,3421,4179,4904,5447,5976
FI1A,0,-353,423,969,1499,1828,2129,2289,2440
FI20,0,-18,106,196,289,355,423,470,516
FR10,0,4649,19861,33405,47854,61021,74232,86052,97903
FR21,0,846,1983,2634,3198,3456,3466,3051,2462
FR22,0,1541,4520,6880,9187,11156,12744,13782,14609
FR23,0,1352,3721,5529,7226,8576,9665,10351,10876
FR24,0,1647,5110,7871,10667,13097,15242,16737,17972
FR25,0,663,2232,3225,4149,4693,4978,4779,4388
FR26,0,866,2330,3233,4124,4637,4883,4614,4177
FR30,0,948,3419,5622,7967,9998,11738,12865,13750
FR41,0,427,1850,2704,3477,3878,3935,3394,2570
FR42,0,1255,4065,6457,8848,10778,12402,13452,14280
FR43,0,401,1471,2334,3228,3980,4614,4986,5256
FR51,0,3665,12640,20524,28519,36260,43608,49987,55830
FR52,0,2566,8782,13992,19187,23974,28349,31866,34946
FR53,0,1087,3284,5038,6816,8286,9547,10342,10944
FR61,0,1663,8378,14070,19721,24803,29535,33523,37231
FR62,0,321,4487,8127,11871,15227,18437,21156,23729
FR63,0,1,315,519,776,954,1100,1122,1117
FR71,0,2538,16151,29122,42485,55116,67513,78983,90277
FR72,0,626,1929,2955,4057,4971,5774,6265,6664
FR81,0,2586,10078,16763,23354,29319,34884,39736,44316
FR82,0,1870,9232,15172,21055,25815,30148,33568,36893
FR83,0,482,1479,2265,3057,3698,4330,4854,5370
FR91,0,0,0,0,0,0,0,0,0
FR92,0,0,0,0,0,0,0,0,0
FR93,0,0,0,0,0,0,0,0,0
FR94,0,0,0,0,0,0,0,0,0
GR11,0,154,173,171,224,335,487,636,775
GR12,0,-162,-697,-1344,-1916,-2381,-2731,-3089,-3494
GR13,0,-15,-99,-193,-275,-348,-415,-488,-570
GR14,0,-6,-189,-383,-541,-672,-755,-834,-912
GR21,0,-48,0,18,37,49,70,85,102
GR22,0,35,141,222,332,431,546,632,712
GR23,0,-96,-373,-705,-1027,-1333,-1619,-1917,-2230
GR24,0,158,295,381,500,662,861,1055,1229
GR25,0,155,246,264,326,432,569,684,773
GR30,0,-867,-2615,-4443,-6187,-7774,-9169,-10506,-11897
GR41,0,91,147,196,255,314,380,439,497
GR42,0,149,964,1690,2440,3151,3863,4507,5131
GR43,0,-18,392,737,1130,1521,1955,2342,2707
HR01,0,0,0,0,0,0,0,0,0
HR02,0,0,0,0,0,0,0,0,0
HR03,0,0,0,0,0,0,0,0,0
HU10,0,848,7273,13330,19487,25281,31294,37178,42982
HU21,0,-218,191,325,360,180,-23,-345,-738
HU22,0,-150,1393,2563,3650,4443,5214,5785,6280
HU23,0,-46,-8,-126,-254,-553,-878,-1326,-1806
HU31,0,-499,-1446,-2494,-3533,-4730,-5941,-7254,-8583
HU32,0,-375,-1020,-1772,-2628,-3758,-5049,-6522,-8108
HU33,0,-421,-803,-1215,-1642,-2209,-2799,-3458,-4146
IE01,0,611,1688,2319,3071,3990,5251,6659,8191
IE02,0,225,1952,2916,4208,6062,8938,12378,16239
IS00,0,0,0,0,0,0,0,0,0
ITC1,0,1607,4613,7461,10592,13921,17273,20111,22087
ITC2,0,80,358,598,855,1095,1336,1532,1692
ITC3,0,22,487,984,1640,2331,3066,3658,4073
ITC4,0,4934,16462,28460,41293,54559,67826,79704,89263
ITD1,0,388,1210,1938,2715,3383,4063,4618,5146
ITD2,0,138,895,1620,2395,3113,3827,4438,4990
ITD3,0,4116,13119,21442,30113,38779,47174,54219,59352
ITD4,0,1009,2451,3951,5639,7402,9155,10626,11621
ITD5,0,2700,9440,16359,23848,31600,39395,46470,52427
ITE1,0,618,4160,7695,11537,15375,19234,22603,25355
ITE2,0,421,1496,2550,3681,4815,5956,6968,7816
ITE3,0,583,2106,3553,5090,6657,8209,9537,10530
ITE4,0,3285,10261,16937,23766,30462,36973,42666,47246
ITF1,0,567,1722,2801,3908,4965,5937,6678,7132
ITF2,0,63,140,184,225,254,264,235,165
ITF3,0,1634,4307,7235,10146,12585,14251,14649,13623
ITF4,0,165,1298,2313,3259,3963,4350,4189,3420
ITF5,0,88,159,173,181,156,89,-70,-323
ITF6,0,245,937,1417,1809,2037,2051,1690,907
ITG1,0,215,1778,3421,5088,6509,7603,8082,7891
ITG2,0,-572,-348,-251,-265,-449,-776,-1353,-2209
LI00,0,0,0,0,0,0,0,0,0
LT00,0,-5147,-5367,-6194,-6519,-6481,-5321,-4476,-3504
LU00,0,972,3934,7182,10602,14027,17348,20426,23160
LV00,0,-590,418,794,1350,1846,2875,3614,4421
ME01,0,0,0,0,0,0,0,0,0
