ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-105231;-105504;-105558;0;0;0;0;0
0.85;-103610;-103769;-103819;0;0;0;0;0
0.9;-102400;-102515;-102546;0;0;0;0;0
0.91;-102204;-102372;-102374;0;0;0;0;0
0.92;-102059;-102156;-102165;0;0;0;0;0
0.93;-101857;-101999;-102024;0;0;0;0;0
0.94;-101698;-101812;-101835;0;0;0;0;0
0.95;-101559;-101650;-101664;0;0;0;0;0
0.96;-101420;-101543;-101549;0;0;0;0;0
0.97;-101310;-101392;-101409;0;0;0;0;0
0.98;-101193;-101273;-101293;0;0;0;0;0
0.99;-101068;-101167;-101180;0;0;0;0;0
1;-100979;-101048;-101061;0;0;0;0;0
1.01;-100905;-100948;-100964;0;0;0;0;0
1.02;-100811;-100892;-100904;0;0;0;0;0
1.03;-100739;-100793;-100811;0;0;0;0;0
1.04;-100673;-100727;-100735;0;0;0;0;0
1.05;-100601;-100656;-100667;0;0;0;0;0
1.06;-100548;-100586;-100601;0;0;0;0;0
1.07;-100493;-100541;-100548;0;0;0;0;0
1.08;-100443;-100480;-100493;0;0;0;0;0
1.09;-100393;-100430;-100442;0;0;0;0;0
1.1;-100355;-100389;-100393;0;0;0;0;0
1.15;-100194;-100216;-100220;0;-79967;0;0;0
1.2;-100103;-100114;-100117;0;-79945;0;0;0
