"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"SI00","2050",153491.04325787,377996.100130263,20542.4755021894
"SI00","2020",165018.105398804,398409.040311498,21843.2823133621
"SI00","2025",165375.930169459,398224.599135175,21411.1252748137
"SI00","2030",165733.754940115,398040.157958852,20978.9682362652
"SI00","2035",161631.670856317,393985.320366303,20958.8315689648
"SI00","2040",157529.58677252,389930.482773754,20938.6949016643
"SI00","2045",155510.315015195,383963.291452009,20740.5852019269
