ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-111646;-116410;-125274;-137723;-163195;-195149;-212050;-231249
0.85;-102970;-104118;-106401;-111062;-125319;-146253;-181346;-206249
0.9;-100726;-101036;-101725;-103242;-107133;-117526;-139554;-175656
0.91;-100587;-100793;-101321;-102391;-105545;-113520;-133961;-167811
0.92;-100470;-100632;-101008;-101832;-104460;-110655;-127871;-158299
0.93;-100361;-100510;-100772;-101428;-103612;-108413;-122893;-150201
0.94;-100291;-100401;-100622;-101087;-102755;-106509;-118258;-143667
0.95;-100232;-100317;-100504;-100827;-102095;-105114;-114104;-137745
0.96;-100179;-100255;-100397;-100658;-101639;-104165;-111162;-131502
0.97;-100141;-100199;-100317;-100536;-101259;-103393;-108939;-126129
0.98;-100109;-100158;-100256;-100433;-100978;-102555;-106910;-121185
0.99;-100093;-100123;-100203;-100340;-100767;-101966;-105460;-116817
1;-100080;-100099;-100161;-100279;-100625;-101552;-104489;-113173
1.01;-100068;-100088;-100126;-100226;-100511;-101215;-103688;-110577
1.02;-100056;-100075;-100101;-100178;-100412;-100956;-102895;-108360
1.03;-100046;-100062;-100089;-100141;-100330;-100758;-102204;-106546
1.04;-100038;-100052;-100077;-100111;-100273;-100624;-101754;-105233
1.05;-100031;-100043;-100064;-100095;-100222;-100514;-101397;-104314
1.06;-100026;-100036;-100053;-100083;-100175;-100418;-101094;-103567
1.07;-100021;-100029;-100044;-100071;-100141;-100337;-100877;-102811
1.08;-100017;-100024;-100037;-100059;-100111;-100281;-100704;-102166
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
