ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;672794;299999;299999;299999;299999;299999;299999;299999
0.85;978399;299999;299999;299999;299999;299999;299999;299999
0.9;1075577;299999;299999;299999;299999;299999;299999;299999
0.91;1079993;299999;299999;299999;299999;299999;299999;299999
0.92;1080000;299999;299999;299999;299999;299999;299999;299999
0.93;1080002;299999;299999;299999;299999;299999;299999;299999
0.94;1088517;299999;299999;299999;299999;299999;299999;299999
0.95;1092639;299999;299999;299999;299999;299999;299999;299999
0.96;1094605;299999;299999;299999;299999;299999;299999;299999
0.97;1095237;299999;299999;299999;299999;299999;299999;299999
0.98;1095956;299999;299999;299999;299999;299999;299999;299999
0.99;1096101;299999;299999;299999;299999;299999;299999;299999
1;1096274;299999;299999;299999;299999;299999;299999;299999
1.01;1096781;299999;299999;299999;299999;299999;299999;299999
1.02;1097172;299999;299999;299999;299999;299999;299999;299999
1.03;1097446;299999;299999;299999;299999;299999;299999;299999
1.04;1097651;299999;299999;299999;299999;299999;299999;299999
1.05;1097852;299999;299999;299999;299999;299999;299999;299999
1.06;1098051;299999;199999;299999;299999;299999;269998;299999
1.07;1098249;299999;199999;269996;299999;299999;269998;299999
1.08;1098389;299999;199999;269996;299999;299999;269998;299999
1.09;1098488;299999;199999;269990;299999;299999;269998;299999
1.1;1098566;299999;199999;269787;299999;299999;269998;299999
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
