ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;0;0;0;0;0;252201;280702;329893
0.85;335882;352202;365988;375161;380953;398402;416510;449185
0.9;584545;570955;407526;414917;422904;445516;455082;477702
0.91;608178;571345;408033;415428;423310;445989;455575;478168
0.92;630919;571482;408303;415725;423541;446313;455869;478607
0.93;643019;571607;408480;416087;423932;446686;456195;479015
0.94;653698;572148;409073;416748;424692;447372;456700;479657
0.95;664558;572449;409514;417303;425261;447688;457074;480175
0.96;675331;572712;409899;417767;425821;447950;457440;480613
0.97;684254;572950;410224;418174;426369;448529;457648;481005
0.98;692153;573136;410538;418607;426755;449266;457935;481490
0.99;697791;573311;410858;419013;427180;449858;458348;481889
1;699968;573465;411115;419475;427732;450508;458838;482286
1.01;699995;573617;411339;419888;428018;450990;459364;482632
1.02;699998;573752;411620;420267;428319;451359;459797;483007
1.03;699999;573863;411830;420571;428866;451771;460216;483387
1.04;700015;573979;412071;420848;429202;452072;460631;483735
1.05;797421;576276;414216;422988;431289;453882;462561;484909
1.06;849999;576928;414929;423659;432097;454587;463228;485407
1.07;849999;577028;415122;423918;432277;454949;463606;485697
1.08;849999;577140;415360;424211;432632;455252;463924;486020
1.09;849999;577246;415564;424512;432912;455578;464321;486340
1.1;852371;577389;415868;424845;433274;455853;464723;486643
1.15;891515;578266;417315;426495;435446;457258;466358;487992
1.2;898646;578829;418614;428027;437139;458626;467880;489111
