ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-104020;-104178;-104228;0;0;0;0;0
0.85;-102547;-102759;-102768;0;0;0;0;0
0.9;-101650;-101762;-101778;0;0;0;0;0
0.91;-101538;-101608;-101636;0;0;0;0;0
0.92;-101376;-101481;-101515;0;0;0;0;0
0.93;-101251;-101352;-101362;0;0;0;0;0
0.94;-101136;-101219;-101236;0;0;0;0;0
0.95;-101025;-101098;-101120;0;0;0;0;0
0.96;-100930;-101000;-101014;0;0;0;0;0
0.97;-100841;-100918;-100926;0;0;0;0;0
0.98;-100757;-100818;-100830;0;0;0;0;0
0.99;-100693;-100747;-100749;0;0;0;0;0
1;-100616;-100681;-100687;0;0;0;0;0
1.01;-100550;-100601;-100609;0;0;0;0;0
1.02;-100495;-100548;-100548;0;0;0;0;0
1.03;-100444;-100491;-100493;0;0;0;0;0
1.04;-100394;-100431;-100443;0;0;0;0;0
1.05;-100355;-100389;-100393;0;0;0;0;0
1.06;-100316;-100344;-100354;0;0;0;0;0
1.07;-100280;-100309;-100315;0;0;0;0;0
1.08;-100247;-100275;-100280;0;-66881;0;0;0
1.09;-100214;-100240;-100247;0;-79975;0;0;0
1.1;-100187;-100208;-100214;0;-79965;0;0;0
1.15;-100097;-100109;-100111;0;-79944;0;0;0
1.2;-100054;-100059;-100061;0;-79929;0;0;0
