ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-100019;-100020;0;-58878;-100023;-100026;-100028;-100030
0.85;-100015;-100017;0;-55281;-100020;-100023;-100025;-100026
0.9;-100012;-100014;0;-51887;-100017;-100020;-100021;-100023
0.91;-100012;-100014;0;-51168;-100016;-100019;-100021;-100023
0.92;-100012;-100013;0;-50806;-100016;-100018;-100020;-100022
0.93;-100011;-100013;0;-50397;-100015;-100018;-100020;-100022
0.94;-100011;-100012;0;-49858;-100015;-100017;-100019;-100021
0.95;-100010;-100012;0;-49257;-100014;-100017;-100019;-100020
0.96;-100010;-100011;0;-48465;-100014;-100016;-100018;-100020
0.97;-100009;-100011;0;-47585;-100013;-100016;-100017;-100019
0.98;-100009;-100010;0;-46654;-100013;-100015;-100017;-100019
0.99;-100008;-100010;0;-46086;-100012;-100015;-100016;-100018
1;-100008;-100010;0;-45232;-100012;-100014;-100016;-100018
1.01;-100008;-100009;0;-44455;-100012;-100014;-100015;-100017
1.02;-100007;-100009;0;-43889;-100011;-100013;-100015;-100017
1.03;-100007;-100008;0;-43228;-100011;-100013;-100014;-100016
1.04;-100006;-100008;0;-42742;-100010;-100012;-100014;-100016
1.05;-100006;-100008;0;-42158;-100010;-100012;-100013;-100015
1.06;-100006;-100007;0;-41762;-100010;-100012;-100013;-100015
1.07;-100006;-100007;0;-41120;-100009;-100011;-100013;-100014
1.08;-100005;-100007;0;-40561;-100009;-100011;-100012;-100014
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
