ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-100245;-100252;-100296;-100367;-100472;-100544;-100583;-100670
0.85;-100156;-100160;-100186;-100229;-100295;-100337;-100362;-100412
0.9;-100104;-100108;-100125;-100150;-100190;-100217;-100237;-100271
0.91;-100096;-100100;-100115;-100139;-100175;-100199;-100217;-100249
0.92;-100089;-100092;-100106;-100129;-100161;-100185;-100200;-100229
0.93;-100083;-100085;-100099;-100120;-100149;-100170;-100184;-100211
0.94;-100077;-100079;-100091;-100111;-100138;-100157;-100170;-100194
0.95;-100072;-100074;-100085;-100102;-100129;-100145;-100157;-100180
0.96;-100068;-100070;-100079;-100095;-100120;-100136;-100146;-100166
0.97;-100064;-100066;-100074;-100088;-100111;-100127;-100136;-100154
0.98;-100059;-100061;-100070;-100082;-100103;-100118;-100128;-100143
0.99;-100056;-100058;-100066;-100076;-100096;-100109;-100119;-100134
1;-100052;-100054;-100061;-100071;-100089;-100102;-100110;-100125
1.01;-100049;-100051;-100058;-100068;-100083;-100095;-100102;-100117
1.02;-100045;-100047;-100054;-100064;-100077;-100088;-100095;-100108
1.03;-100042;-100044;-100051;-100060;-100072;-100082;-100089;-100101
1.04;-100039;-100041;-100048;-100057;-100069;-100077;-100082;-100094
1.05;-100036;-100038;-100044;-100053;-100065;-100072;-100077;-100087
1.06;-100033;-100035;-100041;-100050;-100061;-100069;-100073;-100082
1.07;-100031;-100032;-100038;-100047;-100058;-100065;-100069;-100076
1.08;-100029;-100030;-100035;-100044;-100054;-100061;-100066;-100072
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
