ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-560398;-562514;-563069;-164658;-19935;-4169;0;0
0.85;-556609;-559113;-559298;-163302;-19527;-1144;0;0
0.9;-552070;-554679;-554959;-161013;-19319;-593;0;0
0.91;-551033;-553737;-554066;-161256;-19250;-700;0;0
0.92;-549906;-552857;-553178;-162369;-12946;-984;0;0
0.93;-548777;-551900;-552356;-161095;-12722;-1978;0;0
0.94;-547841;-550892;-551369;-161068;-12608;-1699;0;0
0.95;-547043;-549741;-550393;-160377;-12302;-1477;0;0
0.96;-546147;-548657;-549361;-146868;-11604;-710;0;0
0.97;-545097;-547742;-548325;-145820;-11275;-22;0;0
0.98;-543600;-546939;-547525;-145698;-11049;0;0;0
0.99;-541738;-546007;-546694;-145653;-10889;0;0;0
1;-539621;-544878;-545820;-145685;-10705;0;0;0
1.01;-538220;-543329;-544691;-148355;-10470;0;0;0
1.02;-537296;-541480;-543221;-150496;-10213;0;0;0
1.03;-536362;-539528;-541322;-147918;-9964;0;0;0
1.04;-535463;-538224;-539403;-147761;-9720;0;0;0
1.05;-534719;-537325;-538140;-149827;-9556;0;0;0
1.06;-533763;-536426;-537258;-150337;-9346;0;0;0
1.07;-532671;-535551;-536358;-150748;-9110;0;0;0
1.08;-531578;-534836;-535480;-152013;-8827;0;0;0
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
