ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-113938;-114150;-113093;0;0;0;0;0
0.85;-112121;-112335;-111340;0;0;0;0;0
0.9;-110256;-110531;-109878;0;0;0;0;0
0.91;-109898;-110150;-109550;0;0;0;0;0
0.92;-109520;-109785;-109246;0;0;0;0;0
0.93;-109134;-109430;-108907;0;0;0;0;0
0.94;-108740;-109051;-108594;0;0;0;0;0
0.95;-108363;-108661;-108233;0;0;0;0;0
0.96;-107964;-108289;-107915;0;0;0;0;0
0.97;-107600;-107894;-107528;0;0;0;0;0
0.98;-107240;-107542;-107239;0;0;0;0;0
0.99;-106816;-107178;-106891;0;0;0;0;0
1;-106349;-106759;-106530;0;0;0;0;0
1.01;-105873;-106294;-106028;0;0;0;0;0
1.02;-105370;-105811;-105594;0;0;0;0;0
1.03;-104955;-105324;-105129;0;0;0;0;0
1.04;-104576;-104906;-104637;0;0;0;0;0
1.05;-104168;-104535;-104322;0;0;0;0;0
1.06;-103751;-104128;-103918;0;0;0;0;0
1.07;-103296;-103707;-103608;0;0;0;0;0
1.08;-102902;-103263;-103194;0;0;0;0;0
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
