ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-226309;-231249;-234999;-20000;-241249;-249811;-251249;-251249
0.85;-115846;-123964;-132450;0;-147707;-203925;-231249;-234999
0.9;-102939;-104348;-105730;0;-109694;-119175;-130952;-152849
0.91;-101971;-103098;-104093;0;-107130;-113506;-121161;-136674
0.92;-101244;-102111;-102895;0;-105203;-109748;-114913;-125584
0.93;-100715;-101355;-101938;0;-102439;-104916;-107364;-111419
0.94;-100319;-100795;-101228;0;-101472;-103268;-104986;-107749
0.95;-100088;-100378;-100712;0;-100842;-102024;-103484;-105549
0.96;-100022;-100117;-100324;0;-63468;-101132;-102353;-103875
0.97;-100003;-100029;-100091;0;-23114;-100641;-101561;-102766
0.98;-84778;-100004;-100018;0;0;-100209;-100850;-101680
0.99;-52929;-73920;-83547;0;0;-100058;-100440;-101087
1;-50027;-51856;-54010;0;0;-100015;-100098;-100572
1.01;-50000;-50022;-50035;0;0;-66956;-96983;-100165
1.02;0;-43251;-50005;0;0;-51930;-80757;-100045
1.03;0;0;0;0;0;-50048;-54725;-88767
1.04;0;0;0;0;0;-50003;-50066;-62343
1.05;0;0;0;0;0;0;-50008;-50707
1.06;0;0;0;0;0;0;0;-50022
1.07;0;0;0;0;0;0;0;0
1.08;0;0;0;0;0;0;0;0
1.09;0;0;0;0;0;0;0;0
1.1;0;0;0;0;0;0;0;0
1.15;0;0;0;0;0;0;0;0
1.2;0;0;0;0;0;0;0;0
