ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;0;0;0;0;0;0;0;0
0.85;0;0;0;0;0;0;0;0
0.9;0;0;0;0;0;252201;280702;329893
0.91;0;0;0;0;191592;292612;305753;357250
0.92;0;0;0;189029;292971;316973;334142;384557
0.93;0;261184;284725;297009;313821;337956;355728;405604
0.94;274789;293882;312894;325566;331619;353052;374320;421297
0.95;312934;331534;348240;358424;365105;386514;402105;439710
0.96;362454;362829;375952;383110;387653;406999;425245;454724
0.97;507142;370255;382195;390252;396443;422920;435849;462369
0.98;507147;370442;382422;390610;397025;423588;436315;462947
0.99;531250;371409;383329;391595;398020;425226;437357;463922
1;541391;379830;391741;399867;407394;433557;443504;469053
1.01;572500;570798;407349;414716;422788;445348;454922;477560
1.02;600357;571266;407909;415274;423144;445844;455443;478048
1.03;620980;571409;408171;415573;423439;446146;455732;478427
1.04;636617;571525;408395;415902;423668;446494;455995;478803
1.05;647098;571784;408686;416291;424117;446950;456340;479212
1.06;655955;572248;409231;416889;424855;447470;456780;479771
1.07;665858;572488;409534;417359;425360;447710;457098;480229
1.08;675331;572712;409899;417767;425821;447950;457440;480613
1.09;683247;572928;410171;418144;426317;448465;457638;480966
1.1;690715;573086;410479;418543;426680;449118;457826;481385
1.15;699999;573767;411657;420327;428546;451473;459875;483084
1.2;849999;576989;415058;423812;432133;454855;463493;485587
