ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-100049;0;-100039;-100035;0;0;0;0
0.85;-100037;0;-100028;-100026;0;0;0;0
0.9;-100027;0;-100020;-100017;0;0;0;0
0.91;-100026;0;-100019;-100017;0;0;0;0
0.92;-100024;0;-100018;-100015;0;0;0;0
0.93;-100023;0;-100016;-100015;0;0;0;0
0.94;-100021;0;-100016;-100014;0;0;0;0
0.95;-100020;0;-100015;-100013;0;0;0;0
0.96;-100018;0;-100013;-100012;0;0;0;0
0.97;-100017;0;-100013;-100011;0;0;0;0
0.98;-100016;0;-100012;-100011;0;0;0;0
0.99;-100015;0;-100011;-100011;0;0;0;0
1;-100014;0;-100010;-100009;0;0;0;0
1.01;-100012;0;-100010;-100008;0;0;0;0
1.02;-100011;0;-100008;-100007;0;0;0;0
1.03;-100010;0;-100007;-100006;0;0;0;0
1.04;-100009;0;-100007;-99465;0;0;0;0
1.05;-100009;0;-100005;-94974;0;0;0;0
1.06;-100008;0;-100004;-89464;0;0;0;0
1.07;-100007;0;-100004;-86621;0;0;0;0
1.08;-100006;0;-100002;-70591;0;0;0;0
1.09;-100006;0;-100002;-58148;0;0;0;0
1.1;-100005;0;-63381;-43495;0;0;0;0
1.15;-100001;0;0;0;0;0;0;0
1.2;-59921;0;0;0;0;0;0;0
