ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-108668;-111619;-114959;-118055;-119796;-122356;-124800;-127924
0.85;-101377;-102825;-104495;-106445;-107844;-109764;-111957;-115435
0.9;0;0;0;0;0;-100691;-101858;-103102
0.91;0;0;0;0;0;0;-100638;-102049
0.92;0;0;0;0;0;0;0;-100843
0.93;0;0;0;0;0;0;0;0
0.94;0;0;0;0;0;0;0;0
0.95;0;0;0;0;0;0;0;0
0.96;0;0;0;0;0;0;0;0
0.97;0;0;0;0;0;0;0;0
0.98;0;0;0;0;0;0;0;0
0.99;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0
1.01;0;0;0;0;0;0;0;0
1.02;0;0;0;0;0;0;0;0
1.03;0;0;0;0;0;0;0;0
1.04;0;0;0;0;0;0;0;0
1.05;0;0;0;0;0;0;0;0
1.06;0;0;0;0;0;0;0;0
1.07;0;0;0;0;0;0;0;0
1.08;0;0;0;0;0;0;0;0
1.09;0;0;0;0;0;0;0;0
1.1;0;0;0;0;0;0;0;0
1.15;0;0;0;0;0;0;0;0
1.2;0;0;0;0;0;0;0;0
