ZoneID;Arable_Min;Arable_Max;Arable_slack;Arable_alloc;Arable_Price;Pastures_Min;Pastures_Max;Pastures_slack;Pastures_alloc;Pastures_Price;PermanentCrops_Min;PermanentCrops_Max;PermanentCrops_slack;PermanentCrops_alloc;PermanentCrops_Price;NewEnergyCrops_Min;NewEnergyCrops_Max;NewEnergyCrops_slack;NewEnergyCrops_alloc;NewEnergyCrops_Price;
IR01;238321;243135;0.00999884;243135;-499999;1650258;2295266;0.163478;1863449;0;0;2567;1;2567;-1098556;0;0;;0;-307143
IR02;589017;600916;0.00999972;589017;395887;2200960;2991168;0.152193;2205484;0;1090;6450;0.710875;6450;-597298;0;0;;0;0

"DiscrAlloc completed for 88 tiles with a total magnified suitability of 250295162160 over 5757366 land units = 43473.901461 per land unit, which is optimal"
