ZoneName; Constant; PotentialAccess; ln_water; slope100_cont; sosl_100
AT; -2.06228204771874; 6.4126078707838; -0.0583789225592037; -0.325620733468526; 0.606286448367511
BELUX; -29.7873010988459; 11.2251240862032; 0.542919952217441; 0.252177744918939; 16.428500453119
BG; 0.281182384561929; 13.5190973543839; -0.118427204176977; -0.266276614148269; -0.0306264481647458
CY; -3.42804871462508; 0; 0.041826325144365; 0.142064328179016; 0.382970258551703
CZ; -1.64915472746307; 7.88945635733646; -0.0912803503191652; -0.0857750795855013; -0.375398654577843
DE; -4.64027211339089; 7.09481845930042; -0.0343809338413545; -0.0489747268203389; 0.225104399314699
DK; -24.9072441047461; 31.2961149116661; -0.200288352697195; -0.225849538517658; 15.9549826846476
EE; -6.82353344945683; 164.638061311565; 0.179602647715885; -0.297681580610517; -0.210195048910676
ES; 1.29089494102931; -2.29195462880518; -0.0507657475844084; -0.188715828927386; 0.0598486478815629
FI; 0; 0; 0; 0; 0
FR; 0.481591320784019; 2.58362136636832; -0.0533710592795644; -0.25597818303647; -0.0510221413445657
GR; 1.19564042936944; -11.2774403442276; -0.0508792196289759; -0.199093878866206; -0.0542066881103812
HR; 0.342975464924466; -1.56851303629487; -0.247553573104245; -0.160668857840368; -0.0804059795221691
HU; -1.79024077657434; 4.42106617776477; -0.00117946980175776; 0.382155521345805; 0.139778460528103
IE; 0; 0; 0; 0; 0
IT; 1.54005755439188; 1.50866680311916; 0.0114629566788732; -0.211397173951103; -0.0993163559911632
LT; -1.87407922227165; 0.862854467360088; 0.348009135355079; -0.641087965696765; 1.44720852849173
LV; -0.600718914580432; 16.8254844787871; 0.00378163021823032; -0.338457157433189; -0.459707744015249
MT; 0.688152645679706; 0; 9.13003115826454; -0.0685388808365755; NA
NL; -4.87489036760434; 3.83625033222746; 0.285434964350864; -1.32182313499322; -0.639141164287935
PL; 2.60161757089508; -1.87475263050509; 0.184011356272603; -0.603815528310474; -0.899564534634231
PT; 2.52335657036829; -0.124351197462348; -0.115350352543387; -0.19001754610354; -0.20955547950685
RO; 0.339099169753817; 19.2419973373621; -0.108986369613723; -0.171662124475104; 0.0915164972256977
SE; -9.71350758096406; 558.507098640465; -0.205249565170885; -0.205742844064966; 0.0101655004108494
SI; 2.40605378264147; 0.249729674635916; -0.170186257731619; -0.167717325998766; -0.0728534113022206
SK; 2.12763410591421; 10.1103799718196; -0.204941862372955; -0.30541051100944; -0.660397486315971
UK; -5.45423553698592; 6.74217093480521; -0.360336761368888; -0.487926247442416; -0.0677832845134609
