id;Country;AllOK;FirstFailureOrLastAlloc;FailYear;StatusText
0;Austria;True;6;;DiscrAlloc completed for 117 tiles with a total magnified suitability of 1,065,989,454,395 over 7643079 land units = 139471.207140 per land unit with at most 785,114,794,521,792 from optimum due to 365649(=4.784054%) better options = 102722318.390506 per land unit due to the threshold blocking effective shadow price adjustments
1;BelgLux;True;6;;DiscrAlloc completed for 50 tiles with a total magnified suitability of 352,503,626,192 over 3233525 land units = 109015.277814 per land unit with at most 867,657,781,891,662 from optimum due to 404097(=12.497105%) better options = 268331861.325229 per land unit due to the threshold blocking effective shadow price adjustments
2;Bulgaria;True;6;;DiscrAlloc completed for 166 tiles with a total magnified suitability of 263,575,705,057 over 10869418 land units = 24249.293298 per land unit with at most 912,817,302,877,752 from optimum due to 425154(=3.911470%) better options = 83980329.294333 per land unit due to the threshold blocking effective shadow price adjustments
3;Croatia;False;3;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 1 ()) = [min 51274, max 62669]$ 203964 allocated for price {-565,242, 25,786,581}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 2 ()) = [min 54452, max 66553]$ 315856 allocated for price {-1,081,889, 39,219,389}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 0 ()) = [min 5107, max 6864]$ 68221 allocated for price {-1,080,674, 38,955,230}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 1 ()) = [min 5420, max 7305]$ 23854 allocated for price {-1,117,205, 24,894,086}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 4097 allocated for price {-1,337,606, 21,697,097}$ 
4;Cyprus;False;0;2020;ClaimRange(type 4 (Pastures), Capri 0 ()) = [min 354702, max 481694]$ 147544 allocated for price {1,129,888, 724,663}$ 
5;Czechia;True;6;;DiscrAlloc completed for 119 tiles with a total magnified suitability of 405,149,894,621 over 7753968 land units = 52250.653423 per land unit with at most 885,913,294,209,743 from optimum due to 412640(=5.321662%) better options = 114252895.318854 per land unit due to the threshold blocking effective shadow price adjustments
6;Denmark;True;6;;DiscrAlloc completed for 63 tiles with a total magnified suitability of 136,891,264,875 over 4074699 land units = 33595.429963 per land unit with at most 1,208,322,098,522,761 from optimum due to 562750(=13.810836%) better options = 296542664.506694 per land unit due to the threshold blocking effective shadow price adjustments
7;Estonia;False;3;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 0 ()) = [min 55802, max 69541]$ 125784 allocated for price {-1,124,225, 18,389,451}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 0 ()) = [min 15413, max 22192]$ 40190 allocated for price {-1,732,947, 18,260,652}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 65 allocated for price {-1,290,608, 830,307}$ 
8;Finland;False;3;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 0 ()) = [min 34931, max 43204]$ 45298 allocated for price {-224,999, -251,621}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 3 ()) = [min 49032, max 60522]$ 83829 allocated for price {-323,783, 235,131,152}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 4 ()) = [min 2707, max 3444]$ 5134 allocated for price {-224,999, 98,770}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 1 ()) = [min 174, max 249]$ 1456 allocated for price {-224,999, -21,506,093}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 2 ()) = [min 7609, max 10160]$ 37247 allocated for price {-224,999, -14,701,009}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 4 ()) = [min 7900, max 10699]$ 42668 allocated for price {-323,783, 223,303,329}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 637 allocated for price {-286,918, -253,357,913}$ ClaimRange(type 12 (NewEnergyCrops), Capri 3 ()) = [min 0, max 0]$ 65 allocated for price {-520,179, -82,964,308}$ ClaimRange(type 12 (NewEnergyCrops), Capri 4 ()) = [min 0, max 0]$ 156 allocated for price {-232,278, -48,614,534}$ 
9;France;False;0;2020;ClaimRange(type 2 (Arable), Capri 21 ()) = [min 20970, max 28478]$ 19335 allocated for price {956,562, 150,895,361}$ ClaimRange(type 4 (Pastures), Capri 21 ()) = [min 598983, max 813434]$ 523895 allocated for price {1,531,249, 50,581,275}$ 
