ZoneName;Constant;l0;l1;l2;l3;l4;l5;l6;l16
AT; -5.7264692653965; 0.471816587929743; -14.5752905130343; 0.918474043358427; -13.7831115599869; 0.524439946257614; 0.467079473594912; 1.59518745156295; -0.611195699362036
BELUX; -0.581254278144503; -0.225966252043824; -0.702117420840891; 0.267947859523128; 1.62256193363646; 0.357087207502256; 0.329642322285532; 2.15370429723361; -0.992631550412192
BG; 0.717517343733652; -0.021421154487624; -0.241917825063302; 0.0291975587837586; -0.199943964671861; 0.187203086285361; 0.0150829418370802; 0.746809088212331; -0.868600407967234
CY; -1.59459768095486; 0.254188508177307; -0.16684007718463; -0.0940156234598486; -0.106810056262841; 0.996957428479655; 0.347870342304493; 0.937273251768585; -0.757489809106703
CZ; 2.6111813136817; -0.119668890615687; 0.211559812911142; 0.141306648357692; 10.9250747775496; -0.139287702091698; 0.0298624705699173; 0.50888481504228; -1.13155663680489
DE; -0.313821712860879; 0.0796881826559689; -0.0118602446020542; -0.00535133192861019; -1.30582696143015; 0.164289323343768; 0.105082709825096; 0.977004442487695; -0.951755905904524
DK; -1.75901952410744; 0.561497662083836; 3.06030028284237; 0.373471068320348; -1.47258841840645; 1.28888224048222; 0.250804389961762; 1.33961860336993; -0.855198596903959
EE; 0.616256729194453; 0.19650720105674; 0.722825969392322; 0.165787922177267; 15.0255770910861; -0.00118822476174417; 0.231571175737577; 0.874515974988271; -1.13174911402978
ES; -0.877459687323155; -0.0423272416825651; -0.178715848183054; 0.00248660417273043; 0.0635076446915098; 0.0420881379142461; 0.10379428361951; 0.828542161628585; -0.635129185979339
FI; 1.58888610951263; 16.3806028137913; 16.9911454558061; 16.549513330249; 0; 0; 0.498976960363229; 0.512550688554128; -0.812079275761738
FR; -1.29726599014727; 0.0506217710127326; 0.156671450478723; 0.14386308077282; 0.0390677022768382; 0.146343393431901; 0.168139093237452; 0.982379102170524; -0.715643301407675
GR; -1.4829661858227; 0.0647756071490088; -0.406032208395066; 0.0516870198055664; -0.098118918690628; 0.0395757257349348; 0.246161122635016; 0.864993918511043; -0.55677921501741
HR; -0.438509896511856; -0.0678196592349001; 13.5007102956418; 0.218727996256891; 0.44629125783989; 0.349462640267312; 0.189274833184215; 0.844044030728762; -0.732241290755099
HU; -1.24139113063472; 0.0672601226643808; 0.123107384888067; 0.214730767102953; 0.61298241927167; 0.350229810181205; 0.401028718508651; 1.22515155461498; -0.940415586382439
IE; 1.21161389507069; -0.263699468727571; -0.204710638934891; 0.0231016091878562; 0; 0.115446851788694; 0.392266184415341; 1.00452374582098; -1.29970396607686
IT; -0.827392858377188; 0.0374676886020706; 0.17141789184262; 0.110786497512462; -0.0469766362469189; 0.201968589282942; 0.0915179418553339; 0.889284148358733; -0.749501142500661
LT; -0.0958624208578239; 1.46598530099094; 12.7035694897166; 1.19801048072573; -5.72552951317141; 0.0909712352600234; 0.577559099760203; 1.01215021429631; -1.92067111825681
LV; 7.24050355441185; 3.24943962131841; -1.15501665724353; 0.0982434151655894; 6.74842700777661; -0.212786317249756; -0.276814191863465; 1.2888626061203; -1.94875530781281
MT; 4.13930595903024; 0; -1.00823910373594; -1.03532789250662; -6.53185469710508; 0; 16.987022910731; 0; 0
NL; -0.831991337955743; -4.05775263015555; -1.14111751688255; -0.130352341879918; 2.79694161131216; -0.176531816439512; -0.164805586049665; 2.57060884115314; -3.45624705545801
PL; -0.306855613520332; 1.48370603996866; 0.389767625413588; 0.53217162125815; -2.67503307374377; 0.475521357742874; 0.319684253988212; 1.04869532357342; -1.04782353645648
PT; 0.0376075961682801; 0.17087499682931; 0.00109016636391321; 0.0700496895529456; 0.0712964990923342; -0.0568337460053495; 0.212099262506219; 0.753319703044275; -0.774312872132608
RO; -1.37753654846677; 0.293489937006676; 2.36264997019899; 0.371432687482293; 0.148773125820993; 0.729796479539598; 0.1562466055255; 1.16645336492715; -0.82076391764276
SE; -0.237531147660811; 1.50951157218632; 18.6778306039043; 0.900649123645921; 0; 0.279997119097017; 0.270798645969568; 1.62771319736541; -1.69216352848098
SI; -1.91423687395757; 0.463586714333638; -0.98640563199202; 0.551467895881378; 0.247452316107546; 0.656557530279105; 0.254975765915816; 1.02902006831569; -0.549490920230987
SK; 0.654384688449488; 1.04898907927653; 0.652741691106765; 0.442591387832859; 10.7388583287639; 0.629932388199196; 0.0788232321733128; 0.908892117515435; -1.2078239919664
UK; -2.62894689437201; 0.375858164342569; 0.108824462741998; 0.199059767866708; -0.597657332766701; 0.0231184648606811; 0.359670220150595; 1.12142616462121; -0.664810054839148
