Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
FR23,2033,0,0,14386,14415
FR23,2034,0,0,14465,14499
FR23,2035,0,0,14544,14583
FR23,2036,0,0,14630,14676
FR23,2037,0,0,14717,14770
FR23,2038,0,0,14803,14863
FR23,2039,0,0,14889,14957
FR23,2040,0,0,14975,15050
FR23,2041,0,0,15047,15129
FR23,2042,0,0,15119,15208
FR23,2043,0,0,15190,15287
FR23,2044,0,0,15262,15366
FR23,2045,0,0,15333,15446
FR23,2046,0,0,15404,15525
FR23,2047,0,0,15474,15604
FR23,2048,0,0,15545,15683
FR23,2049,0,0,15615,15763
FR23,2050,0,0,15686,15842
FR24,2006,0,0,26632,26632
FR24,2007,0,0,26282,26282
FR24,2008,0,0,25933,25933
FR24,2009,0,0,25583,25583
FR24,2010,0,0,25234,25234
FR24,2011,0,0,25261,25261
FR24,2012,0,0,25288,25288
FR24,2013,0,0,25315,25315
FR24,2014,0,0,25342,25342
FR24,2015,0,0,25369,25369
FR24,2016,0,0,25550,25551
FR24,2017,0,0,25731,25733
FR24,2018,0,0,25912,25914
FR24,2019,0,0,26092,26096
FR24,2020,0,0,26273,26277
FR24,2021,0,0,26362,26369
FR24,2022,0,0,26451,26460
FR24,2023,0,0,26540,26551
FR24,2024,0,0,26629,26642
FR24,2025,0,0,26718,26733
FR24,2026,0,0,26819,26839
FR24,2027,0,0,26921,26944
FR24,2028,0,0,27022,27050
FR24,2029,0,0,27123,27155
FR24,2030,0,0,27224,27261
FR24,2031,0,0,27355,27400
FR24,2032,0,0,27485,27539
FR24,2033,0,0,27616,27678
FR24,2034,0,0,27746,27817
FR24,2035,0,0,27876,27956
FR24,2036,0,0,28016,28108
FR24,2037,0,0,28156,28260
FR24,2038,0,0,28295,28412
FR24,2039,0,0,28435,28564
FR24,2040,0,0,28575,28717
FR24,2041,0,0,28693,28847
FR24,2042,0,0,28810,28978
FR24,2043,0,0,28928,29108
FR24,2044,0,0,29046,29239
FR24,2045,0,0,29164,29370
FR24,2046,0,0,29280,29500
FR24,2047,0,0,29395,29631
FR24,2048,0,0,29511,29761
FR24,2049,0,0,29627,29891
FR24,2050,0,0,29742,30022
FR25,2006,0,0,13035,13035
FR25,2007,0,0,12801,12801
FR25,2008,0,0,12568,12568
FR25,2009,0,0,12334,12334
FR25,2010,0,0,12100,12100
FR25,2011,0,0,12086,12086
FR25,2012,0,0,12072,12072
FR25,2013,0,0,12058,12058
FR25,2014,0,0,12044,12044
FR25,2015,0,0,12031,12031
FR25,2016,0,0,12097,12098
FR25,2017,0,0,12164,12165
FR25,2018,0,0,12230,12232
FR25,2019,0,0,12297,12299
FR25,2020,0,0,12364,12366
FR25,2021,0,0,12386,12390
FR25,2022,0,0,12409,12414
FR25,2023,0,0,12432,12437
FR25,2024,0,0,12455,12461
FR25,2025,0,0,12478,12484
FR25,2026,0,0,12509,12517
FR25,2027,0,0,12540,12550
FR25,2028,0,0,12571,12582
FR25,2029,0,0,12603,12615
FR25,2030,0,0,12634,12648
FR25,2031,0,0,12680,12697
FR25,2032,0,0,12726,12747
FR25,2033,0,0,12772,12796
FR25,2034,0,0,12818,12845
FR25,2035,0,0,12864,12895
FR25,2036,0,0,12915,12951
FR25,2037,0,0,12966,13008
FR25,2038,0,0,13018,13064
FR25,2039,0,0,13069,13120
FR25,2040,0,0,13120,13177
FR25,2041,0,0,13163,13224
FR25,2042,0,0,13205,13272
FR25,2043,0,0,13247,13319
FR25,2044,0,0,13290,13367
FR25,2045,0,0,13332,13414
FR25,2046,0,0,13374,13462
FR25,2047,0,0,13416,13509
FR25,2048,0,0,13457,13557
FR25,2049,0,0,13499,13604
FR25,2050,0,0,13541,13652
FR26,2006,0,0,15505,15505
FR26,2007,0,0,15359,15359
FR26,2008,0,0,15213,15213
FR26,2009,0,0,15067,15067
FR26,2010,0,0,14921,14921
FR26,2011,0,0,14941,14941
FR26,2012,0,0,14962,14962
FR26,2013,0,0,14982,14982
FR26,2014,0,0,15002,15002
FR26,2015,0,0,15022,15022
FR26,2016,0,0,15132,15135
FR26,2017,0,0,15242,15248
FR26,2018,0,0,15352,15361
FR26,2019,0,0,15462,15475
FR26,2020,0,0,15572,15588
FR26,2021,0,0,15626,15646
FR26,2022,0,0,15681,15703
FR26,2023,0,0,15736,15761
FR26,2024,0,0,15791,15819
FR26,2025,0,0,15846,15876
FR26,2026,0,0,15907,15942
FR26,2027,0,0,15967,16007
FR26,2028,0,0,16028,16072
FR26,2029,0,0,16089,16138
FR26,2030,0,0,16150,16203
FR26,2031,0,0,16226,16286
FR26,2032,0,0,16302,16369
FR26,2033,0,0,16378,16452
FR26,2034,0,0,16453,16536
FR26,2035,0,0,16529,16619
FR26,2036,0,0,16609,16708
FR26,2037,0,0,16689,16797
FR26,2038,0,0,16769,16886
FR26,2039,0,0,16848,16976
FR26,2040,0,0,16928,17065
FR26,2041,0,0,16995,17141
FR26,2042,0,0,17062,17217
FR26,2043,0,0,17128,17293
FR26,2044,0,0,17195,17368
FR26,2045,0,0,17262,17444
FR26,2046,0,0,17326,17519
FR26,2047,0,0,17391,17593
FR26,2048,0,0,17455,17668
FR26,2049,0,0,17520,17742
FR26,2050,0,0,17584,17817
FR30,2006,0,0,29096,29096
FR30,2007,0,0,28773,28773
FR30,2008,0,0,28450,28450
FR30,2009,0,0,28127,28127
FR30,2010,0,0,27804,27804
FR30,2011,0,0,27794,27794
FR30,2012,0,0,27785,27785
FR30,2013,0,0,27775,27775
FR30,2014,0,0,27766,27766
FR30,2015,0,0,27756,27756
FR30,2016,0,0,27922,27926
FR30,2017,0,0,28087,28096
FR30,2018,0,0,28252,28266
FR30,2019,0,0,28417,28436
FR30,2020,0,0,28583,28606
FR30,2021,0,0,28649,28675
