Party;AVERAGE (Forest-to-grass) t C/ha;EF

AUT;-1.6496988914302024;6.048895935244076

BEL;-12.056978109993011;44.20891973664104

BGR;0;-0.0

HRV;0;-0.0

CYP;-0.35129285429254486;1.2880737990726645

CZE;-4.505722028643826;16.52098077169403

DNM;-3.202419488916279;11.742204792693023

EST;-9.738045785728033;35.70616788100279

FIN;-2.160630178943296;7.922310656125418

FRK;-2.332054428435115;8.55086623759542

DEU;0;-0.0

GRC;-1.5975739757325729;5.857771244352768

HUN;-2.4420429361150426;8.954157432421823

IRL;-17.08459228227899;62.64350503502296

ITA;0;-0.0

LVA;-1.9379699643027735;7.105889869110169

LTU;0;-0.0

LUX;-3.458533378067909;12.681289052915666

MLT;0;-0.0

NLD;-3.4094129028654603;12.501180643840021

POL;0;-0.0

PRT;-0.5685672048181694;2.084746417666621

ROU;-3.5224144876584207;12.915519788080877

SVK;-2.5295519253849386;9.275023726411442

SVN;-3.2749235753008614;12.00805310943649

ESP;-3.270665886013431;11.992441582049246

SWE;-4.3077034623587895;15.794912695315562

EU-27;-4.223223851806034;15.485154123288789

GBE;-2.1156121959046845;7.757244718317177

ISL;0;-0.0

GBK;-2.222761000458399;8.150123668347463
