Party;AVERAGE (Grass-to-Sett) t C/ha;EF;(tCO2/ha)
AUT;0.484983477098626;1.77503952618097;
BEL;#DIV/0!;#DIV/0!;
BGR;0.400961001771364;1.46751726648319;
HRV;-0.104132946675381;-0.381126584831894;
CYP;-0.321727785623108;-1.17752369538058;
CZE;#DIV/0!;#DIV/0!;
DNM;-0.147071443950355;-0.538281484858298;
EST;-0.566757374215374;-2.07433198962827;
FIN;-0.165998648908245;-0.607555055004178;
FRK;-0.353906421304098;-1.295297501973;
DEU;0.250663770648307;0.917429400572805;
GRC;-0.277893728698865;-1.01709104703785;
HUN;-0.120205385456715;-0.439951710771579;
IRL;-0.212115056417702;-0.776341106488789;
ITA;-2.867;-10.49322;
LVA;#DIV/0!;#DIV/0!;
LTU;-0.618675600674849;-2.26435269846995;
LUX;0.0215737938451709;0.0789600854733255;
MLT;-0.000107591488365455;-0.000393784847417564;
NLD;-0.65448340129599;-2.39540924874332;
POL;-0.395988341399347;-1.44931732952161;
PRT;-0.0818390729023727;-0.299531006822684;
ROU;-0.04116159695817;-0.150651444866902;
SVK;-0.666685058419739;-2.44006731381625;
SVN;-0.812424397526904;-2.97347329494847;
ESP;-0.170768360974391;-0.625012201166271;
SWE;0.0499757845381863;0.182911371409762;
GBE;0.0336869020177555;0.123294061384985;
EU-28;-0.19518261311168;-0.714368363988748;
ISL;-8.77505583397627;-32.1167043523531;
GBK;0.0366363252255982;0.134088950325689;
