Party;AVERAGE (Forest-to-crop) t C/ha;EF

AUT;-1.5187536714184389;5.568763461867609

BEL;-9.921984169057323;36.38060861987685

BGR;0;-0.0

HRV;-1.6137932781772595;5.917242019983284

CYP;-0.17290983185263456;0.6340027167929934

CZE;-3.9088083308233688;14.332297213019018

DNM;-1.7695386664821242;6.488308443767789

EST;-19.857966681277357;72.81254449801698

FIN;-2.278476188745156;8.354412692065571

FRK;-4.241399482860446;15.551798103821637

DEU;0;-0.0

GRC;-2.982049384020735;10.934181074742696

HUN;-1.2538406880657247;4.59741585624099

IRL;0;-0.0

ITA;0;-0.0

LVA;-0.8325980230943525;3.0528594180126256

LTU;0;-0.0

LUX;-4.431050516216669;16.247185226127787

MLT;0;-0.0

NLD;-3.9644187689843307;14.536202152942545

POL;0;-0.0

PRT;-0.5648430612764458;2.0710912246803015

ROU;-2.5164402532802916;9.22694759536107

SVK;-0.8339287380268897;3.0577387060985957

SVN;-3.33052258071319;12.211916129281697

ESP;-0.5322592528840041;1.9516172605746818

SWE;-3.6979326996733173;13.55908656546883

EU-27;-3.2035524557283486;11.746359004337279

GBE;-0.05222781772563766;0.19150199832733808

ISL;1.558319039451115;-5.713836477987422

GBK;-0.05210920022350353;0.1910670674861796
