Party;AVERAGE (Forest-to-other) t C/ha;EF

AUT;-1.275821495792527;4.678012151239265

BEL;0;-0.0

BGR;0;-0.0

HRV;0;-0.0

CYP;0;-0.0

CZE;0;-0.0

DNM;0;-0.0

EST;-15.667478359722345;57.447420652315266

FIN;0;-0.0

FRK;0;-0.0

DEU;0;-0.0

GRC;-1.959765655508804;7.185807403532281

HUN;0;-0.0

IRL;-27.866487987297837;102.17712262009206

ITA;0;-0.0

LVA;0;-0.0

LTU;0;-0.0

LUX;-12.881544479401713;47.232329757806276

MLT;0;-0.0

NLD;-5.370143269607828;19.690525321895368

POL;0;-0.0

PRT;-1.1878899308429969;4.355596413090988

ROU;-33.70922436484489;123.6004893377646

SVK;-2.6579111754583526;9.745674310013959

SVN;-6.343389787293949;23.25909588674448

ESP;0;-0.0

SWE;-2.7987779027622266;10.262185643461498

EU-27;-7.297348862784377;26.75694583020938

GBE;0;-0.0

ISL;0;-0.0

GBK;0;-0.0
