Label;count
Forest land remaining Forest land;16423737
Forest land converted to Cropland;5
Forest land converted to Grassland;3114
Forest land converted to Artificial land;21446
Cropland converted to Forest land;35656
Cropland remaining Cropland;22793032
Cropland converted to Grassland;298565
Cropland converted to Artificial land;477232
Cropland converted to Residual land;220
Grassland converted to Forest land;3064
Grassland converted to Cropland;4754
Grassland remaining Grassland;8228283
Grassland converted to Artificial land;180628
Grassland converted to Residual land;14
Artificial land remaining Artificial land;2886513
Residual land converted to Cropland;1250
Residual land converted to Grassland;19181
Residual land converted to Artificial land;35619
Residual land remaining Residual land;1750037
