Label;count
Forest land remaining Forest land;24210098
Forest land converted to Cropland;2870
Forest land converted to Artificial land;3682
Cropland converted to Forest land;655851
Cropland remaining Cropland;2217197
Cropland converted to Grassland;3719
Cropland converted to Artificial land;12580
Grassland converted to Forest land;1049
Grassland converted to Cropland;88
Grassland remaining Grassland;4694
Grassland converted to Artificial land;784
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;43
Residual land remaining Residual land;723732
