Label;count
Forest land remaining Forest land;7521505
Forest land converted to Cropland;42804
Forest land converted to Grassland;12697
Forest land converted to Artificial land;12700
Cropland converted to Forest land;210
Cropland remaining Cropland;10784149
Cropland converted to Grassland;82474
Cropland converted to Artificial land;42449
Grassland converted to Forest land;5
Grassland converted to Cropland;15508
Grassland remaining Grassland;2603494
Grassland converted to Artificial land;28844
Artificial land remaining Artificial land;1229652
Residual land converted to Forest land;1
Residual land converted to Cropland;15082
Residual land converted to Grassland;3
Residual land converted to Artificial land;3
Residual land remaining Residual land;634746
