Label;count
Forest land remaining Forest land;3828554
Forest land converted to Cropland;51472
Forest land converted to Grassland;7980
Forest land converted to Artificial land;7595
Cropland converted to Forest land;505596
Cropland remaining Cropland;4267057
Cropland converted to Grassland;123265
Cropland converted to Artificial land;34638
Grassland converted to Forest land;24827
Grassland converted to Cropland;20480
Grassland remaining Grassland;89125
Grassland converted to Artificial land;6466
Artificial land remaining Artificial land;313741
Residual land converted to Forest land;477
Residual land converted to Cropland;214377
Residual land converted to Grassland;16026
Residual land converted to Artificial land;2185
Residual land remaining Residual land;2991176
