Label;count
Forest land remaining Forest land;3025780
Forest land converted to Cropland;299668
Forest land converted to Grassland;3544
Forest land converted to Artificial land;4562
Cropland converted to Forest land;10060
Cropland remaining Cropland;3111622
Cropland converted to Grassland;91535
Cropland converted to Artificial land;45366
Grassland converted to Forest land;3057
Grassland converted to Cropland;59757
Grassland remaining Grassland;927667
Grassland converted to Artificial land;18538
Artificial land remaining Artificial land;284149
Residual land converted to Forest land;239
Residual land converted to Cropland;67360
Residual land converted to Grassland;1021
Residual land converted to Artificial land;363
Residual land remaining Residual land;695422
