Label;count
Forest land remaining Forest land;206
Cropland converted to Forest land;4765
Cropland remaining Cropland;9535
Cropland converted to Grassland;443
Cropland converted to Artificial land;1650
Artificial land remaining Artificial land;7870
Residual land remaining Residual land;4728
