Label;count
Forest land remaining Forest land;666940
Forest land converted to Cropland;72628
Forest land converted to Artificial land;578
Cropland converted to Forest land;979
Cropland remaining Cropland;840434
Cropland converted to Grassland;4
Cropland converted to Artificial land;12974
Grassland converted to Forest land;82
Grassland converted to Cropland;57447
Grassland remaining Grassland;3815421
Grassland converted to Artificial land;11146
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;89045
Residual land converted to Artificial land;145
Residual land remaining Residual land;78435
