Label;count
Forest land remaining Forest land;16437757
Forest land converted to Cropland;5
Forest land converted to Grassland;3090
Forest land converted to Artificial land;7450
Cropland converted to Forest land;34934
Cropland remaining Cropland;22953391
Cropland converted to Grassland;238073
Cropland converted to Artificial land;378087
Cropland converted to Residual land;220
Grassland converted to Forest land;3108
Grassland converted to Cropland;5299
Grassland remaining Grassland;8245537
Grassland converted to Artificial land;162785
Grassland converted to Residual land;14
Artificial land remaining Artificial land;2886513
Residual land converted to Cropland;509
Residual land converted to Grassland;13991
Residual land converted to Artificial land;23157
Residual land remaining Residual land;1768430
