Label;count
Forest land remaining Forest land;3073429
Forest land converted to Cropland;1887
Forest land converted to Grassland;11173
Forest land converted to Artificial land;5703
Cropland converted to Forest land;75
Cropland remaining Cropland;6455957
Cropland converted to Grassland;195734
Cropland converted to Artificial land;124987
Cropland converted to Residual land;100
Grassland converted to Cropland;30815
Grassland remaining Grassland;6676731
Grassland converted to Artificial land;65728
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;80688
Residual land converted to Grassland;154255
Residual land converted to Artificial land;37415
Residual land remaining Residual land;2869937
