Label;count
Forest land remaining Forest land;2518324
Forest land converted to Artificial land;6869
Cropland converted to Forest land;5
Cropland remaining Cropland;1073953
Cropland converted to Grassland;54887
Cropland converted to Artificial land;5445
Grassland converted to Cropland;2783
Grassland remaining Grassland;297400
Grassland converted to Artificial land;5002
Artificial land remaining Artificial land;76477
Residual land converted to Artificial land;4137
Residual land remaining Residual land;41738
