Label;count
Forest land remaining Forest land;2129209
Forest land converted to Cropland;25896
Forest land converted to Grassland;24
Forest land converted to Artificial land;9616
Cropland remaining Cropland;5295419
Cropland converted to Grassland;3009
Cropland converted to Artificial land;47099
Grassland converted to Cropland;3122
Grassland remaining Grassland;691068
Grassland converted to Artificial land;6640
Artificial land remaining Artificial land;519623
Residual land converted to Cropland;9743
Residual land converted to Grassland;18
Residual land converted to Artificial land;90
Residual land remaining Residual land;220897
