Label;count
Forest land remaining Forest land;2201470
Forest land converted to Artificial land;236
Cropland remaining Cropland;1984542
Cropland converted to Grassland;49950
Cropland converted to Artificial land;12210
Grassland converted to Forest land;11
Grassland converted to Cropland;1
Grassland remaining Grassland;267212
Grassland converted to Artificial land;3397
Artificial land remaining Artificial land;268157
Residual land remaining Residual land;41789
