Label;count
Forest land remaining Forest land;3026008
Forest land converted to Cropland;299668
Forest land converted to Grassland;3573
Forest land converted to Artificial land;4305
Cropland converted to Forest land;8837
Cropland remaining Cropland;3126852
Cropland converted to Grassland;79764
Cropland converted to Artificial land;43130
Grassland converted to Forest land;3057
Grassland converted to Cropland;58093
Grassland remaining Grassland;930378
Grassland converted to Artificial land;17491
Artificial land remaining Artificial land;284149
Residual land converted to Cropland;67360
Residual land converted to Grassland;1260
Residual land converted to Artificial land;275
Residual land remaining Residual land;695510
