Label;count
Forest land remaining Forest land;11390695
Forest land converted to Cropland;34822
Forest land converted to Artificial land;2332
Cropland converted to Forest land;120232
Cropland remaining Cropland;13523957
Cropland converted to Grassland;130634
Cropland converted to Artificial land;229572
Grassland converted to Cropland;29797
Grassland remaining Grassland;6267636
Grassland converted to Artificial land;46575
Artificial land remaining Artificial land;2877559
Residual land converted to Forest land;18
Residual land converted to Cropland;9733
Residual land converted to Artificial land;123
Residual land remaining Residual land;201920
