Label;count
Forest land remaining Forest land;7521505
Forest land converted to Cropland;42808
Forest land converted to Grassland;12697
Forest land converted to Artificial land;12696
Cropland converted to Forest land;209
Cropland remaining Cropland;10830503
Cropland converted to Grassland;48241
Cropland converted to Artificial land;30329
Grassland converted to Forest land;5
Grassland converted to Cropland;6
Grassland remaining Grassland;2624926
Grassland converted to Artificial land;22914
Artificial land remaining Artificial land;1229652
Residual land converted to Forest land;1
Residual land converted to Cropland;15082
Residual land converted to Grassland;3
Residual land converted to Artificial land;3
Residual land remaining Residual land;634746
