Label;count
Forest land remaining Forest land;3071845
Forest land converted to Cropland;1884
Forest land converted to Grassland;11177
Forest land converted to Artificial land;7286
Cropland converted to Forest land;75
Cropland remaining Cropland;6391006
Cropland converted to Grassland;248879
Cropland converted to Artificial land;136793
Cropland converted to Residual land;100
Grassland converted to Cropland;60865
Grassland remaining Grassland;6611594
Grassland converted to Artificial land;100815
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;80679
Residual land converted to Grassland;164463
Residual land converted to Artificial land;46362
Residual land remaining Residual land;2850791
