Label;count
Forest land remaining Forest land;2123866
Forest land converted to Cropland;23930
Forest land converted to Grassland;24
Forest land converted to Artificial land;16925
Cropland remaining Cropland;5269847
Cropland converted to Grassland;12326
Cropland converted to Artificial land;63354
Grassland converted to Cropland;2944
Grassland remaining Grassland;688847
Grassland converted to Artificial land;9039
Artificial land remaining Artificial land;519623
Residual land converted to Cropland;9681
Residual land converted to Grassland;18
Residual land converted to Artificial land;152
Residual land remaining Residual land;220897
