Label;count
Forest land remaining Forest land;24209861
Forest land converted to Cropland;2870
Forest land converted to Artificial land;3919
Cropland converted to Forest land;680248
Cropland remaining Cropland;2185916
Cropland converted to Grassland;4835
Cropland converted to Artificial land;18348
Grassland converted to Forest land;1049
Grassland converted to Cropland;88
Grassland remaining Grassland;4694
Grassland converted to Artificial land;784
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;54
Residual land remaining Residual land;723721
