Label;count
Forest land remaining Forest land;16440730
Forest land converted to Cropland;5
Forest land converted to Grassland;3090
Forest land converted to Artificial land;4477
Cropland converted to Forest land;34888
Cropland remaining Cropland;23037842
Cropland converted to Grassland;209298
Cropland converted to Artificial land;322457
Cropland converted to Residual land;220
Grassland converted to Forest land;3241
Grassland converted to Cropland;5631
Grassland remaining Grassland;8261496
Grassland converted to Artificial land;146361
Grassland converted to Residual land;14
Artificial land remaining Artificial land;2886513
Residual land converted to Cropland;509
Residual land converted to Grassland;13991
Residual land converted to Artificial land;17314
Residual land remaining Residual land;1774273
